Date,2017-03,2016-03,2015-03,2014-03,2013-03-31,2013-03,2012-03-31
Depreciation & Amortization,1000000.0,1000000.0,000000.0,000000.0,726000.0,000000.0,1158000.0
Stock-based compensation,,,,,76000.0,,0.0
Operating Cash Flow,,,,,9187000.0,,9939000.0
Capital Expenditure,,,,,396000.0,,373000.0
Acquisitions and disposals,,,,,-0.0,,-0.0
Investment purchases and sales,-41000000,-63000000,-133000000,0,60506000.0,0,29989000.0
Investing Cash flow,-197000000.0,-86000000.0,-117000000.0,1000000.0,71684000.0,10000000.0,2344000.0
Issuance (repayment) of debt,,,,,-0.0,,-0.0
Issuance (buybacks) of shares,,,,,-27000.0,,-11000.0
Dividend payments,,,,,-6153000.0,,-2109000.0
Financing Cash Flow,169000000.0,58000000.0,9000000.0,153000000.0,-95232000.0,-6000000.0,-30095000.0
Effect of forex changes on cash,,,,,0.0,,0.0
Net cash flow / Change in cash,-16000000.0,-18000000.0,-100000000.0,159000000.0,-14361000.0,4000000.0,-17812000.0
Free Cash Flow,,,,,8791000.0,,9566000.0
Net Cash/Marketcap,,,,,0.0,,0.0
