Date,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,10000000.0,13000000.0,14000000.0,15000000.0,16000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,0000000.0,1000000.0,1000000.0,1000000.0,4000000.0
Inventories,3000000.0,4000000.0,4000000.0,5000000.0,4000000.0
Total current assets,17000000.0,16000000.0,16000000.0,17000000.0,17000000.0
Property Plant & Equipment Net,3000000.0,1000000.0,2000000.0,2000000.0,1000000.0
Goodwill and Intangible Assets,11000000,12000000,13000000,13000000,13000000
Long-term investments,,,,,
Tax assets,,,,,
Total non-current assets,0000000.0,11000000.0,17000000.0,29000000.0,24000000.0
Total assets,32000000.0,35000000.0,38000000.0,39000000.0,42000000.0
Payables,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Short-term debt,14000000.0,7000000.0,000000.0,7000000.0,3000000.0
Total current liabilities,18000000.0,13000000.0,8000000.0,16000000.0,15000000.0
Long-term debt,000000.0,11000000.0,17000000.0,18000000.0,23000000.0
Total debt,000000.0,11000000.0,17000000.0,18000000.0,23000000.0
Deferred revenue,0000000.0,0000000.0,0000000.0,0000000.0,0000000.0
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,0000000.0,11000000.0,17000000.0,29000000.0,24000000.0
Total liabilities,19000000.0,24000000.0,25000000.0,44000000.0,39000000.0
Other comprehensive income,1000000.0,1000000.0,1000000.0,1000000.0,0000000.0
Retained earnings (deficit),-402000000.0,-379000000.0,-357000000.0,-338000000.0,-301000000.0
Total shareholders equity,13000000.0,11000000.0,12000000.0,-6000000.0,3000000.0
Investments,,,,,
Net Debt,4000000,5000000,3000000,10000000,10000000
Other Assets,4000000,2000000,2000000,2000000,3000000
Other Liabilities,0,0,2000000,13000000,7000000
