Date,2018-03-31,2018-03,2017-03-31,2017-03,2016-03-31,2016-03,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2012-03-31,2011-03-31
Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6829227.0,7851744.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-0.130228010490408,
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Gross Profit,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6829227.0,7851744.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,5733065.0,,5283578.0,,4073546.0,,3886252.0,,3387175.0,,2853214.0,6294412.0,5609834.0
Operating Expenses,5733065.0,,5283578.0,,4073546.0,,3886252.0,,3387175.0,,2853214.0,6815394.0,6227074.0
Operating Income,2003095.0,,-1686787.0,,329075.0,,-651662.0,,-2187173.0,,-479133.0,13833.0,1624670.0
Interest Expense,3587017.0,,2871106.0,,1843394.0,,1661809.0,,0.0,,0.0,0.0,0.0
Earnings before Tax,2003095.0,,-1686787.0,,329075.0,,-651662.0,,-2187173.0,,-479133.0,13833.0,1624670.0
Income Tax Expense,8052038.0,,-758005.0,,421691.0,,-337353.0,,-991789.0,,-306998.0,-117186.0,511257.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,-6048942.0,-6000000.0,-928782.0,-1000000.0,-92616.0,-0000000.0,-314309.0,-0000000.0,-1195384.0,-1000000.0,-172135.0,131019.0,1113413.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,-6048942.0,-6000000.0,-928782.0,-1000000.0,-92616.0,-0000000.0,-314309.0,-0000000.0,-1195384.0,-1000000.0,-172135.0,131019.0,1113413.0
EPS,-1.9,-1.90,-0.29,-0.29,-0.03,-0.03,-0.1,-0.10,-0.35,-0.35,-0.05,,
EPS Diluted,-1.9,-1.90,-0.29,-0.29,-0.03,-0.03,-0.1,-0.10,-0.35,-0.35,-0.05,,
Weighted Average Shs Out,3192011.0,3000000.0,3180292.0,3000000.0,3169181.0,3000000.0,3180865.0,3000000.0,3369863.0,3000000.0,3414551.0,,
Weighted Average Shs Out (Dil),3192011.0,3000000.0,3180292.0,3000000.0,3169181.0,3000000.0,3180865.0,3000000.0,3369863.0,3000000.0,3414551.0,,
Dividend per Share,0.0,,0.943309608049,,3.15538935769,,0.0,,0.0,,0.0,0.0,0.0
Gross Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,1.0
EBITDA Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.045,0.207
EBIT Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.002,0.2069
Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.019,0.142
Free Cash Flow margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.241,0.248
EBITDA,493981.0,,-4052998.0,,61479.0,,80419.0,,-1144662.0,,1409527.0,308826.0,1624670.0
EBIT,2003095.0,-6000000,-1686787.0,-1000000,329075.0,0,-651662.0,0,-2187173.0,-1000000,-479133.0,13833.0,1624670.0
Consolidated Income,-6048942.0,-6000000.0,-928782.0,-1000000.0,-92616.0,-0000000.0,-314309.0,-0000000.0,-1195384.0,-1000000.0,-172135.0,131019.0,1113413.0
Earnings Before Tax Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.002,0.2069
Net Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0192,0.1418
