Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2012-12
Cash and cash equivalents,2820.0,22271.0,0000000.0,199436.0,0000000.0,0000000.0,000000.0,000000.0
Short-term investments,0.0,0.0,,0.0,,,,
Cash and short-term investments,2820.0,22271.0,,199436.0,,,,
Receivables,0.0,0.0,,0.0,,,,
Inventories,0.0,0.0,,0.0,,,,
Total current assets,3653.0,26177.0,44000000.0,250106.0,44000000.0,0000000.0,000000.0,000000.0
Property Plant & Equipment Net,0.0,0.0,,0.0,,,,
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0,0,0
Long-term investments,14846465.0,43927390.0,,43646683.0,,,,
Tax assets,0.0,0.0,,0.0,,,,
Total non-current assets,14846465.0,43927390.0,39000000.0,43646683.0,39000000.0,000000.0,000000.0,000000.0
Total assets,14850118.0,43953567.0,44000000.0,43896789.0,44000000.0,0000000.0,000000.0,000000.0
Payables,2159118.0,149563.0,,80095.0,,,,
Short-term debt,485183.0,230000.0,,0.0,,,,
Total current liabilities,3069301.0,379563.0,0000000.0,80095.0,0000000.0,0000000.0,000000.0,000000.0
Long-term debt,485183.0,230000.0,,0.0,,,,
Total debt,970366.0,460000.0,,0.0,,,,
Deferred revenue,0.0,0.0,,0.0,,,,
Tax Liabilities,0.0,0.0,,0.0,,,,
Deposit Liabilities,0.0,0.0,,0.0,,,,
Total non-current liabilities,485183.0,230000.0,39000000.0,0.0,39000000.0,000000.0,000000.0,000000.0
Total liabilities,9850117.0,38953566.0,39000000.0,38896788.0,39000000.0,0000000.0,000000.0,000000.0
Other comprehensive income,7831780,5717876,,5475191,,,,
Retained earnings (deficit),-2831993.0,-718064.0,-1000000.0,-475374.0,-0000000.0,-0000000.0,000000.0,000000.0
Total shareholders equity,5000001.0,5000001.0,5000000.0,5000001.0,5000000.0,0000000.0,000000.0,000000.0
Investments,14846465.0,43927390.0,,43646683.0,,,,
Net Debt,967546.0,437729.0,0,-199436.0,0,0,0,0
Other Assets,0.0,0.0,44000000,0.0,44000000,0,0,0
Other Liabilities,6295633.0,38344003.0,39000000,38816693.0,39000000,0,0,0
