Date,2018-12-31,2017-12-29,2016-12-30,2015-12-25
Cash and cash equivalents,281195000.0,446144000.0,332000000.0,349000000.0
Short-term investments,0.0,0.0,,
Cash and short-term investments,281195000.0,446144000.0,332000000.0,349000000.0
Receivables,623286000.0,1063638000.0,,
Inventories,0.0,0.0,,
Total current assets,1488807000.0,1561964000.0,,
Property Plant & Equipment Net,91849000.0,87578000.0,,
Goodwill and Intangible Assets,916457000.0,514485000.0,,
Long-term investments,63560000.0,71578000.0,,
Tax assets,5680000.0,8459000.0,,
Total non-current assets,1123771000.0,710754000.0,,
Total assets,2612578000.0,2272718000.0,2153000000.0,2403000000.0
Payables,226345000.0,207080000.0,,
Short-term debt,0.0,0.0,,
Total current liabilities,1006161000.0,1007718000.0,,
Long-term debt,429164000.0,249407000.0,249000000.0,250000000.0
Total debt,429164000.0,249407000.0,,
Deferred revenue,0.0,145151000.0,,
Tax Liabilities,17780000.0,16211000.0,,
Deposit Liabilities,0.0,0.0,,
Total non-current liabilities,651184000.0,459611000.0,,
Total liabilities,1657345000.0,1467329000.0,,
Other comprehensive income,-22957000.0,-15003000.0,,
Retained earnings (deficit),12445000.0,-186035000.0,,
Total shareholders equity,-967537000.0,-1077410000.0,,
Investments,63560000.0,71578000.0,,
Net Debt,147969000.0,-196737000.0,,
Other Assets,584326000.0,52182000.0,,
Other Liabilities,779816000.0,800638000.0,,
