Date,2018-12-31,2017-12-31
Depreciation & Amortization,6000000.0,5796000.0
Stock-based compensation,11149000.0,7009000.0
Operating Cash Flow,-32259000.0,-34858000.0
Capital Expenditure,-6299000.0,-2214000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,7035000.0,38731000.0
Investing Cash flow,736000.0,36432000.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,1268000.0,222000.0
Dividend payments,0.0,0.0
Financing Cash Flow,1248000.0,50034000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-30275000.0,51608000.0
Free Cash Flow,-38558000.0,-37072000.0
Net Cash/Marketcap,0.0345,0.0345
