Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Revenue,0.0,0.0,,0.0,,0.0,,,
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,0.0,,0.0,,0.0,,,
Gross Profit,0.0,0.0,,0.0,,0.0,,,
R&D Expenses,0.0,0.0,,0.0,,0.0,,,
SG&A Expense,120000.0,120000.0,1000000.0,100000.0,0000000.0,0.0,0000000.0,0000000.0,000000.0
Operating Expenses,839061.0,746563.0,1000000.0,541802.0,0000000.0,129952.0,0000000.0,0000000.0,000000.0
Operating Income,-839061.0,-746563.0,-1000000.0,-541802.0,-0000000.0,-129952.0,-0000000.0,-0000000.0,000000.0
Interest Expense,121194.0,54371.0,0000000.0,848.0,0000000.0,374.0,0000000.0,000000.0,000000.0
Earnings before Tax,-31367.0,-584277.0,-1000000.0,-434228.0,-0000000.0,-130326.0,-0000000.0,-0000000.0,000000.0
Income Tax Expense,0.0,0.0,,0.0,,0.0,,,
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,,
Net Income,-31367.0,-584277.0,-1000000.0,-434228.0,-0000000.0,-130326.0,-0000000.0,-0000000.0,000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,,
Net Income Com,-31367.0,-584277.0,-1000000.0,-434228.0,-0000000.0,-130326.0,-0000000.0,-0000000.0,000000.0
EPS,-0.02,-0.3,-0.30,-0.23,-0.23,-0.1,2,2,
EPS Diluted,-0.02,-0.3,-0.30,-0.23,-0.23,-0.1,2,2,
Weighted Average Shs Out,2042348.0,1939175.0,2000000.0,1887614.0,2000000.0,1370548.0,,,
Weighted Average Shs Out (Dil),2042348.0,1939175.0,2000000.0,1887614.0,2000000.0,1370548.0,,,
Dividend per Share,0.0,0.0,,0.0,,0.0,,,
Gross Margin,,,,,,,,,
EBITDA Margin,,,,,,,,,
EBIT Margin,,,,,,,,,
Profit Margin,,,,,,,,,
Free Cash Flow margin,,,,,,,,,
EBITDA,89827.0,-529906.0,-1000000.0,-433380.0,-0000000.0,-129952.0,-0000000.0,-0000000.0,000000.0
EBIT,89827.0,-529906.0,-1000000,-433380.0,0,-129952.0,0,0,0
Consolidated Income,-31367.0,-584277.0,-1000000.0,-434228.0,-0000000.0,-130326.0,-0000000.0,-0000000.0,000000.0
Earnings Before Tax Margin,,,,,,,,,
Net Profit Margin,,,,,,,,,
