Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,339891000.0,385166000.0,478412000.0,239056000.0,146234000.0
Revenue Growth,-0.117546720115483,-0.194907318378302,1.00125493608192,0.634749784591819,
Cost of Revenue,192771000.0,217326000.0,257425000.0,145350000.0,93558000.0
Gross Profit,147120000.0,167840000.0,220987000.0,93706000.0,52676000.0
R&D Expenses,102406000.0,92027000.0,75696000.0,38645000.0,28471000.0
SG&A Expense,51864000.0,38807000.0,27676000.0,13124000.0,6615000.0
Operating Expenses,154270000.0,130834000.0,103397000.0,51769000.0,35350000.0
Operating Income,-7150000.0,37053000.0,117590000.0,41937000.0,17326000.0
Interest Expense,0.0,0.0,0.0,135000.0,390000.0
Earnings before Tax,-404000.0,40303000.0,114621000.0,39805000.0,16453000.0
Income Tax Expense,-5320000.0,1795000.0,-16956000.0,-715000.0,2933000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,4916000.0,38508000.0,131577000.0,40520000.0,13520000.0
Preferred Dividends,0.0,0.0,0.0,32923000.0,11792000.0
Net Income Com,4916000.0,38508000.0,131577000.0,7597000.0,1728000.0
EPS,0.12,0.99,3.77,1.18,0.31
EPS Diluted,0.12,0.92,3.22,0.91,0.23
Weighted Average Shs Out,40259000.0,38920000.0,25307000.0,35656000.0,
Weighted Average Shs Out (Dil),41997000.0,41690000.0,29585000.0,6429000.0,5629000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.432844647255,0.435760165747,0.46191776126,0.392,0.3602
EBITDA Margin,0.0191120094383,0.128082437183,0.264955728535,0.186,0.133
EBIT Margin,-0.0210361557087,0.0962000799655,0.245792329624,0.1671,0.1152
Profit Margin,0.0144634603446,0.0999776719648,0.275028636405,0.032,0.012
Free Cash Flow margin,0.201314539073,0.128284947269,0.175497270135,0.0433,0.0474
EBITDA,6496000.0,49333000.0,126758000.0,44516000.0,19505000.0
EBIT,-7150000.0,37053000.0,117590000.0,39940000.0,16843000.0
Consolidated Income,4916000.0,38508000.0,131577000.0,40520000.0,13520000.0
Earnings Before Tax Margin,-0.00118861635054,0.104638000239,0.239586381613,0.1665,0.1125
Net Profit Margin,0.0144634603446,0.0999776719648,0.275028636405,0.1695,0.0925
