Date,2019-06-30,2018-06-30,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06
Revenue,10074000000.0,9024000000.0,8139000000.0,8139000000.0,8292000000.0,8292000000.0,8633000000.0,8633000000.0,8574000000.0,8574000000.0,8891000000.0
Revenue Growth,0.0,0.0,0.0,-0.018451519536903,0.0,-0.0394995945789413,0.0,0.00688126895264754,0.0,-0.0356540321673603,
Cost of Revenue,5622000000.0,4903000000.0,4529000000.0,4529000000.0,4728000000.0,4728000000.0,5025000000.0,5025000000.0,5139000000.0,5139000000.0,5420000000.0
Gross Profit,4452000000.0,4121000000.0,3610000000.0,3610000000.0,3564000000.0,3564000000.0,3608000000.0,3608000000.0,3435000000.0,3435000000.0,3471000000.0
R&D Expenses,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
SG&A Expense,3208000000.0,3049000000.0,2725000000.0,2725000000.0,2722000000.0,2722000000.0,2756000000.0,2756000000.0,2665000000.0,2665000000.0,2783000000.0
Operating Expenses,8830000000.0,3049000000.0,2725000000.0,3174000000.0,2722000000.0,3227000000.0,2756000000.0,3286000000.0,2665000000.0,3243000000.0,3331000000.0
Operating Income,354000000.0,-1089000000.0,-615000000.0,436000000.0,181000000.0,337000000.0,56000000.0,322000000.0,-397000000.0,192000000.0,140000000.0
Interest Expense,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
Earnings before Tax,354000000.0,-1089000000.0,-615000000.0,-615000000.0,181000000.0,181000000.0,56000000.0,56000000.0,-397000000.0,-397000000.0,173000000.0
Income Tax Expense,126000000.0,355000000.0,28000000.0,28000000.0,-54000000.0,-54000000.0,134000000.0,134000000.0,-691000000.0,-691000000.0,-374000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income,155000000.0,-1514000000.0,-738000000.0,-738000000.0,179000000.0,179000000.0,-147000000.0,-147000000.0,239000000.0,239000000.0,506000000.0
Preferred Dividends,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income Com,155000000.0,-1514000000.0,-738000000.0,-738000000.0,179000000.0,179000000.0,-147000000.0,-147000000.0,239000000.0,239000000.0,506000000.0
EPS,0.27,-2.6,-1.27,-1.27,0.3,0.30,-0.26,-0.26,0.41,0.41,0.87
EPS Diluted,0.26,-2.6,-1.27,-1.27,0.3,0.30,-0.26,-0.26,0.41,0.41,0.87
Weighted Average Shs Out,584700000.0,582700000.0,581400000.0,581000000.0,580600000.0,581000000.0,581000000.0,581000000.0,579000000.0,579000000.0,582000000.0
Weighted Average Shs Out (Dil),587900000.0,582700000.0,581400000.0,581000000.0,582500000.0,582000000.0,581000000.0,581000000.0,579700000.0,580000000.0,582000000.0
Dividend per Share,0.273856097976,0.271151535953,0.261437908497,,0.252360515021,,0.0516351118761,,0.0414007245127,,
Gross Margin,0.441929720071,0.456671099291,0.443543432854,0.44354343285416,0.42981186686,0.42981186685962,0.417931194255,0.4179311942546,0.400629811057,0.40062981105668,0.39039478123946
EBITDA Margin,0.10055588644,-0.0683732269504,-0.0203956259983,0.10873571691854,0.0827303424988,0.10154365653642,0.0678790686899,0.098691069153249,0.0211103335666,0.089806391415909,0.077381621864807
EBIT Margin,0.0351399642644,-0.120678191489,-0.0755621083671,-0.087234303968547,0.0218282682103,0.015074770863483,0.00648673693965,-0.0015058496467045,-0.0463027758339,-0.05271751807791,0.014846473962434
Profit Margin,0.0153861425452,-0.167774822695,-0.0906745300405,-0.090674530040546,0.0215870718765,0.021587071876507,-0.0170276844666,-0.017027684466582,0.0278749708421,0.027874970842081,0.056911483522663
Free Cash Flow margin,0.035338495136,0.0435505319149,0.029241921612,,0.0839363241679,,0.0524730684582,,0.0554000466527,,
EBITDA,1013000000.0,-617000000.0,-166000000.0,885000000.0,686000000.0,842000000.0,586000000.0,852000000.0,181000000.0,770000000.0,688000000.0
EBIT,354000000.0,-1089000000.0,-615000000.0,-710000000,181000000.0,125000000,56000000.0,-13000000,-397000000.0,-452000000,132000000
Consolidated Income,155000000.0,-1514000000.0,-738000000.0,-738000000.0,179000000.0,179000000.0,-147000000.0,-147000000.0,239000000.0,239000000.0,506000000.0
Earnings Before Tax Margin,0.0351399642644,-0.120678191489,-0.0755621083671,-0.075562108367121,0.0218282682103,0.021828268210323,0.00648673693965,0.0064867369396502,-0.0463027758339,-0.046302775833916,0.019457878753796
Net Profit Margin,0.0153861425452,-0.167774822695,-0.0906745300405,-0.090674530040546,0.0215870718765,0.021587071876507,-0.0170276844666,-0.017027684466582,0.0278749708421,0.027874970842081,0.056911483522663
