Date,2018-12-31,2017-12-31,2017-09-30,2016-12-31,2016-09-30
Revenue,711000000.0,2079000000.0,1530000000.0,0.0,1139000000.0
Revenue Growth,-0.658008658008658,0.358823529411765,0.0,-1,
Cost of Revenue,472000000.0,843000000.0,791000000.0,0.0,
Gross Profit,239000000.0,432000000.0,687000000.0,0.0,348000000.0
R&D Expenses,0.0,0.0,0.0,0.0,
SG&A Expense,362000000.0,137000000.0,119000000.0,0.0,
Operating Expenses,181000000.0,1728000000.0,330000000.0,0.0,173000000.0
Operating Income,58000000.0,460000000.0,357000000.0,0.0,175000000.0
Interest Expense,16000000.0,-24000000.0,24000000.0,0.0,22000000.0
Earnings before Tax,0.0,396000000.0,333000000.0,0.0,153000000.0
Income Tax Expense,16000000.0,105000000.0,110000000.0,0.0,56000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,
Net Income,-16000000.0,223000000.0,97000000.0,0.0,
Preferred Dividends,29000000.0,0.0,0.0,0.0,
Net Income Com,-16000000.0,223000000.0,97000000.0,0.0,
EPS,-0.07,1.35,3.83,0.0,1.67
EPS Diluted,-0.07,1.35,3.83,0.0,1.66
Weighted Average Shs Out,216019000.0,214000000.0,84000000.0,0.0,84000000.0
Weighted Average Shs Out (Dil),216019000.0,58319517.0,58275013.0,0.0,
Dividend per Share,0.0,0.0,0.0,0.0,
Gross Margin,0.336146272855,0.2078,0.449,0.0,0.3055
EBITDA Margin,0.142053445851,0.206,0.119,0.0,
EBIT Margin,0.0815752461322,0.1212,0.2333,0.0,0.1536
Profit Margin,-0.0225035161744,0.146,0.085,0.0,
Free Cash Flow margin,1.2517580872,0.1523,0.3134,0.0,
EBITDA,101000000.0,315000000.0,135000000.0,0.0,
EBIT,58000000.0,252000000.0,357000000.0,0.0,175000000.0
Consolidated Income,-16000000.0,223000000.0,97000000.0,0.0,
Earnings Before Tax Margin,0.0,0.1905,0.2176,0.0,0.1343
Net Profit Margin,-0.0225035161744,0.1458,0.0852,0.0,
