Date,2018-12-31,2017-12-31
Revenue,0.0,0.0
Revenue Growth,0.0,0.0
Cost of Revenue,0.0,0.0
Gross Profit,0.0,0.0
R&D Expenses,10085000.0,9099000.0
SG&A Expense,2034000.0,1271000.0
Operating Expenses,12119000.0,10370000.0
Operating Income,-12119000.0,-10370000.0
Interest Expense,957000.0,1643000.0
Earnings before Tax,-12476000.0,-12235000.0
Income Tax Expense,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-12476000.0,-12235000.0
Preferred Dividends,0.0,0.0
Net Income Com,-12476000.0,-12235000.0
EPS,-3.71,-3.7
EPS Diluted,-3.71,-3.7
Weighted Average Shs Out,26013000.0,26013000.0
Weighted Average Shs Out (Dil),3362192.0,3302979.0
Dividend per Share,0.0,0.0
Gross Margin,0.0,0.0
EBITDA Margin,,
EBIT Margin,0.0,0.0
Profit Margin,,
Free Cash Flow margin,0.0,0.0
EBITDA,-11468000.0,-10547000.0
EBIT,-11519000.0,-10592000.0
Consolidated Income,-12476000.0,-12235000.0
Earnings Before Tax Margin,0.0,0.0
Net Profit Margin,0.0,0.0
