Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,45745000.0,12000000.0,54640000.0,11000000.0,59283000.0,11000000.0,70347000.0,7000000.0,38552000.0,4000000.0,73896000.0,130768000.0
Stock-based compensation,3791000.0,4000000.0,3889000.0,4000000.0,3595000.0,4000000.0,2035000.0,2000000.0,1321000.0,1000000.0,779000.0,188000.0
Operating Cash Flow,69827000.0,,19420000.0,,-28882000.0,,42765000.0,,96236000.0,,193000000.0,162222000.0
Capital Expenditure,0.0,,0.0,,0.0,,0.0,,0.0,,5700000.0,7035000.0
Acquisitions and disposals,-137714000.0,,3661000.0,,-14958000.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,233946000.0,-388000000,108461000.0,-309000000,364023000.0,-648000000,107484000.0,-431000000,28636000.0,-198000000,142780000.0,175516000.0
Investing Cash flow,-20814000.0,-21000000.0,-198684000.0,-199000000.0,-322060000.0,-322000000.0,-257440000.0,-257000000.0,529906000.0,86000000.0,404206000.0,151602000.0
Issuance (repayment) of debt,-0.0,,-0.0,,-0.0,,5000000.0,,-0.0,,-0.0,24572000.0
Issuance (buybacks) of shares,1000.0,,-4928000.0,,-174815000.0,,-480963000.0,,-598649000.0,,-445218000.0,-220532000.0
Dividend payments,-21814000.0,,-20681000.0,,-11631000.0,,-4830000.0,,-3840000.0,,-1910000.0,-0.0
Financing Cash Flow,32271000.0,32000000.0,153495000.0,153000000.0,45146000.0,45000000.0,97084000.0,97000000.0,-27393000.0,-27000000.0,-151821000.0,-479781000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,81284000.0,81000000.0,-25769000.0,-26000000.0,-305796000.0,-306000000.0,481158000.0,-118000000.0,598749000.0,155000000.0,445385000.0,220532000.0
Free Cash Flow,69827000.0,,19420000.0,,-28882000.0,,42765000.0,,96236000.0,,187300000.0,155187000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
