Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Revenue,0.0,,0.0,,0.0,,0.0,,0.0,
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,
Gross Profit,0.0,,0.0,,0.0,,0.0,,0.0,
R&D Expenses,1921000.0,,1764000.0,,1699000.0,,1477000.0,,1512000.0,
SG&A Expense,12326000.0,,10934000.0,,9667000.0,,8835000.0,,8446000.0,
Operating Expenses,14247000.0,,12698000.0,,11366000.0,,10312000.0,,9958000.0,
Operating Income,5071000.0,,5770000.0,,2781000.0,,-1495000.0,,409000.0,
Interest Expense,4474000.0,,2786000.0,,2227000.0,,2396000.0,,2630000.0,
Earnings before Tax,5071000.0,,5770000.0,,2781000.0,,-1495000.0,,409000.0,
Income Tax Expense,2479000.0,,2281000.0,,1153000.0,,-530000.0,,187000.0,
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income,2592000.0,3000000.0,3489000.0,3000000.0,1628000.0,2000000.0,-965000.0,-1000000.0,222000.0,0000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income Com,2592000.0,3000000.0,3489000.0,3000000.0,1628000.0,2000000.0,-965000.0,-1000000.0,222000.0,0000000.0
EPS,0.65,0.65,0.82,0.82,0.36,0.36,0.0,-0.20,0.0,5
EPS Diluted,0.64,0.64,0.82,0.82,0.36,0.36,0.0,-0.19,0.0,5
Weighted Average Shs Out,4013000.0,4000000.0,4241000.0,4000000.0,4529000.0,5000000.0,0.0,5000000.0,0.0,
Weighted Average Shs Out (Dil),4039000.0,4000000.0,4245000.0,4000000.0,4529000.0,5000000.0,0.0,5000000.0,0.0,
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,
Gross Margin,0.0,,0.0,,0.0,,0.0,,0.0,
EBITDA Margin,0.0,,0.0,,0.0,,0.0,,0.0,
EBIT Margin,0.0,,0.0,,0.0,,0.0,,0.0,
Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,
Free Cash Flow margin,0.0,,0.0,,0.0,,0.0,,0.0,
EBITDA,5511000.0,,6020000.0,,3240000.0,,-1233000.0,,836000.0,
EBIT,5071000.0,3000000,5770000.0,3000000,2781000.0,2000000,-1495000.0,-1000000,409000.0,0
Consolidated Income,2592000.0,3000000.0,3489000.0,3000000.0,1628000.0,2000000.0,-965000.0,-1000000.0,222000.0,0000000.0
Earnings Before Tax Margin,0.0,,0.0,,0.0,,0.0,,0.0,
Net Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,
