Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,0.0,0.0,0.0,0.0
Stock-based compensation,0.0,0.0,0.0,0.0
Operating Cash Flow,-17821000.0,25102000.0,-92012000.0,141000.0
Capital Expenditure,0.0,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0
Investing Cash flow,0.0,0.0,0.0,0.0
Issuance (repayment) of debt,-44000000.0,-30429000.0,97000000.0,-47244000.0
Issuance (buybacks) of shares,94612000.0,22472000.0,-5376000.0,90386000.0
Dividend payments,-31588000.0,-22617000.0,-21533000.0,-19240000.0
Financing Cash Flow,17764000.0,-30574000.0,69011000.0,23399000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-57000.0,-5472000.0,-23001000.0,23540000.0
Free Cash Flow,-17821000.0,25102000.0,-92012000.0,141000.0
Net Cash/Marketcap,-0.2339,-0.2758,-0.2758,-0.2758
