Date,2018-10-31,2018-04,2017-04-30,2017-04,2016-04-30,2016-04,2015-04-30,2015-04,2014-04
Revenue,3170000000.0,3209000000.0,1381000000.0,1381000000.0,1245000000.0,1245000000.0,835000000.0,835000000.0,433000000.0
Revenue Growth,1.2954,,0.1092,,0.491,,,,
Cost of Revenue,104000000.0,701000000.0,143000000.0,237000000.0,133000000.0,135000000.0,87000000.0,91000000.0,30000000.0
Gross Profit,2374000000.0,2508000000.0,990000000.0,1144000000.0,897000000.0,1110000000.0,631000000.0,743000000.0,403000000.0
R&D Expenses,428000000.0,458000000.0,173000000.0,180000000.0,163000000.0,259000000.0,104000000.0,162000000.0,58000000.0
SG&A Expense,1764000000.0,1471000000.0,599000000.0,670000000.0,574000000.0,555000000.0,387000000.0,433000000.0,190000000.0
Operating Expenses,,1929000000.0,,850000000.0,,815000000.0,,596000000.0,247000000.0
Operating Income,610000000.0,579000000.0,391000000.0,293000000.0,323000000.0,295000000.0,244000000.0,147000000.0,156000000.0
Interest Expense,,165000000.0,,82000000.0,,83000000.0,,46000000.0,5000000.0
Earnings before Tax,23000000.0,77000000.0,198000000.0,196000000.0,198000000.0,195000000.0,92000000.0,91000000.0,148000000.0
Income Tax Expense,449000000.0,-649000000.0,-39000000.0,39000000.0,-32000000.0,32000000.0,10000000.0,-10000000.0,26000000.0
Net Income - Non-Controlling int,,,,,,,,,
Net Income - Discontinued ops,,,,,,,,,
Net Income,,726000000.0,,158000000.0,,163000000.0,,101000000.0,122000000.0
Preferred Dividends,,,,,,,,,
Net Income Com,523000000.0,726000000.0,158000000.0,158000000.0,163000000.0,163000000.0,102000000.0,101000000.0,122000000.0
EPS,1.62,1.99,0.9,0.74,0.97,0.80,0.76,0.63,0.99
EPS Diluted,1.58,1.92,0.87,0.72,0.93,0.77,0.74,0.61,0.96
Weighted Average Shs Out,362000000.0,366000000.0,176000000.0,212000000.0,176000000.0,203000000.0,167000000.0,161000000.0,124000000.0
Weighted Average Shs Out (Dil),,379000000.0,,220000000.0,,211000000.0,,166000000.0,128000000.0
Dividend per Share,,,,,,,,,
Gross Margin,0.7489,0.78155188532253,0.7169,0.82838522809558,0.7205,0.89156626506024,0.7557,0.88982035928144,0.93071593533487
EBITDA Margin,,0.27142411966345,,0.38088341781318,,0.39598393574297,,0.30538922155689,0.45034642032333
EBIT Margin,,0.075412901215332,,0.20202751629254,,0.22329317269076,,0.16407185628743,0.35334872979215
Profit Margin,,0.226238703646,,0.11440984793628,,0.13092369477912,,0.12095808383234,0.28175519630485
Free Cash Flow margin,,,,,,,,,
EBITDA,,871000000.0,,526000000.0,,493000000.0,,255000000.0,195000000.0
EBIT,,242000000,,279000000,,278000000,,137000000,153000000
Consolidated Income,,726000000.0,,158000000.0,,163000000.0,,101000000.0,122000000.0
Earnings Before Tax Margin,0.0073,0.02399501402306,0.1434,0.14192614047791,0.159,0.1566265060241,0.1102,0.10898203592814,0.34180138568129
Net Profit Margin,,0.226238703646,,0.11440984793628,,0.13092369477912,,0.12095808383234,0.28175519630485
