Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Revenue,1274589000.0,1275000000.0,1149778000.0,1150000000.0,1027447000.0,1027000000.0,918000000.0,720000000.0
Revenue Growth,-0.000322352941176471,0.108909719963332,-0.00019304347826087,0.119279145298979,0.00043524829600779,0.118736383442266,0.275,
Cost of Revenue,685501000.0,686000000.0,634095000.0,634000000.0,608616000.0,609000000.0,551000000.0,422000000.0
Gross Profit,589088000.0,589000000.0,515683000.0,516000000.0,418831000.0,419000000.0,367000000.0,298000000.0
R&D Expenses,11300000.0,,9800000.0,,9500000.0,,,
SG&A Expense,285849000.0,286000000.0,262761000.0,263000000.0,226716000.0,227000000.0,188000000.0,139000000.0
Operating Expenses,297149000.0,286000000.0,272561000.0,295000000.0,236216000.0,259000000.0,188000000.0,139000000.0
Operating Income,303239000.0,303000000.0,220922000.0,221000000.0,160115000.0,160000000.0,179000000.0,159000000.0
Interest Expense,11141000.0,11000000.0,14619000.0,15000000.0,15091000.0,15000000.0,14000000.0,21000000.0
Earnings before Tax,293325000.0,293000000.0,206808000.0,207000000.0,145318000.0,145000000.0,165000000.0,122000000.0
Income Tax Expense,99796000.0,100000000.0,76567000.0,77000000.0,55930000.0,56000000.0,63000000.0,44000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,,
Net Income,193529000.0,194000000.0,130241000.0,130000000.0,89388000.0,89000000.0,102000000.0,78000000.0
Preferred Dividends,0.0,,0.0,,0.0,,,
Net Income Com,193529000.0,194000000.0,130241000.0,130000000.0,89388000.0,89000000.0,102000000.0,78000000.0
EPS,0.99,0.99,0.66,0.66,0.46,0.46,0.52,0.40
EPS Diluted,0.97,0.97,0.65,0.65,0.45,0.45,0.52,0.40
Weighted Average Shs Out,196256128.0,196000000.0,196363084.0,196000000.0,195933800.0,196000000.0,196000000.0,196000000.0
Weighted Average Shs Out (Dil),198918417.0,199000000.0,199348746.0,199000000.0,198047453.0,198000000.0,196000000.0,197000000.0
Dividend per Share,0.0,,0.0,,0.0,,,
Gross Margin,0.462178788613,0.46196078431373,0.44850658127,0.44869565217391,0.407642438004,0.40798442064265,0.39978213507625,0.41388888888889
EBITDA Margin,0.246437871345,0.24705882352941,0.20025083103,0.20086956521739,0.163908211324,0.16455696202532,0.20043572984749,0.2
EBIT Margin,0.237911201179,0.23921568627451,0.192143178944,0.19304347826087,0.155837722043,0.15579357351509,0.19498910675381,0.19861111111111
Profit Margin,0.151836395889,0.1521568627451,0.113274910461,0.11304347826087,0.0870001080348,0.08666017526777,0.11111111111111,0.10833333333333
Free Cash Flow margin,0.0179579456593,,0.0616623382949,,0.125225924062,,,
EBITDA,314107000.0,315000000.0,230244000.0,231000000.0,168407000.0,169000000.0,184000000.0,144000000.0
EBIT,303239000.0,305000000,220922000.0,222000000,160115000.0,160000000,179000000,143000000
Consolidated Income,193529000.0,194000000.0,130241000.0,130000000.0,89388000.0,89000000.0,102000000.0,78000000.0
Earnings Before Tax Margin,0.230133007581,0.22980392156863,0.179867765777,0.18,0.141436005945,0.14118792599805,0.1797385620915,0.16944444444444
Net Profit Margin,0.151836395889,0.1521568627451,0.113274910461,0.11304347826087,0.0870001080348,0.08666017526777,0.11111111111111,0.10833333333333
