Date,2018-03-31,2018-03,2017-03-31,2017-03,2016-03-31,2016-03,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2012-03-31,2011-03-31,2010-03-31
Revenue,4235000000.0,4235000000.0,4036000000.0,4036000000.0,4025000000.0,4025000000.0,4262000000.0,4262000000.0,4515000000.0,4515000000.0,4643000000.0,4814000000.0,0.0,0.0
Revenue Growth,0,0.0493062438057483,0,0.00273291925465838,0,-0.0556076959174097,0,-0.0560354374307863,0,-0.0275683825113073,-0.0355213959285418,0.0,0.0,0.0
Cost of Revenue,1134000000.0,600000000.0,993000000.0,573000000.0,1008000000.0,583000000.0,1107000000.0,635000000.0,1136000000.0,656000000.0,1159000000.0,1079000000.0,0.0,0.0
Gross Profit,3101000000.0,3635000000.0,3043000000.0,3463000000.0,3017000000.0,3442000000.0,3155000000.0,3627000000.0,3379000000.0,3859000000.0,3484000000.0,3735000000.0,0.0,0.0
R&D Expenses,642000000.0,642000000.0,586000000.0,586000000.0,560000000.0,560000000.0,603000000.0,603000000.0,587000000.0,587000000.0,490000000.0,510000000.0,0.0,0.0
SG&A Expense,1467000000.0,1467000000.0,1403000000.0,1403000000.0,1373000000.0,1373000000.0,1437000000.0,1437000000.0,1545000000.0,1545000000.0,1681000000.0,1856000000.0,0.0,0.0
Operating Expenses,1982000000.0,2487000000.0,1908000000.0,2309000000.0,1882000000.0,2295000000.0,1993000000.0,2442000000.0,2286000000.0,2558000000.0,2122000000.0,2346000000.0,0.0,0.0
Operating Income,1119000000.0,1148000000.0,1135000000.0,1154000000.0,1135000000.0,1147000000.0,1162000000.0,1185000000.0,1093000000.0,1301000000.0,1362000000.0,1389000000.0,827000000.0,0.0
Interest Expense,127000000.0,98000000.0,90000000.0,62000000.0,81000000.0,51000000.0,77000000.0,47000000.0,75000000.0,54000000.0,64000000.0,0.0,0.0,0.0
Earnings before Tax,1021000000.0,1021000000.0,1073000000.0,1073000000.0,1084000000.0,1084000000.0,1115000000.0,1115000000.0,699000000.0,1039000000.0,1318000000.0,1354000000.0,0.0,0.0
Income Tax Expense,545000000.0,545000000.0,298000000.0,298000000.0,315000000.0,315000000.0,305000000.0,305000000.0,140000000.0,140000000.0,363000000.0,416000000.0,140000000.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income,476000000.0,476000000.0,775000000.0,775000000.0,783000000.0,783000000.0,846000000.0,846000000.0,914000000.0,914000000.0,955000000.0,951000000.0,827000000.0,0.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,476000000.0,476000000.0,775000000.0,775000000.0,783000000.0,783000000.0,846000000.0,846000000.0,914000000.0,914000000.0,955000000.0,951000000.0,827000000.0,0.0
EPS,1.14,1.14,1.85,1.85,1.82,1.82,1.91,1.91,2.03,2.03,2.07,1.94,0.0,0.0
