Date,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,5000000.0,4446000.0,4000000.0,4112000.0,4000000.0,3263000.0,3000000.0,1432000.0,4000000.0,1356000.0,1610000.0
Stock-based compensation,3000000.0,3213000.0,3000000.0,3324000.0,3000000.0,3141000.0,3000000.0,2742000.0,3000000.0,1965000.0,1494000.0
Operating Cash Flow,,43542000.0,,34123000.0,,27271000.0,,26751000.0,,31512000.0,39495000.0
Capital Expenditure,,9381000.0,,1547000.0,,4226000.0,,1956000.0,,1973000.0,2600000.0
Acquisitions and disposals,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,-178000000,11602000.0,-112000000,23154000.0,-150000000,62656000.0,-37000000,143548000.0,-150000000,243530000.0,208766000.0
Investing Cash flow,-246000000.0,-250654000.0,-251000000.0,-320255000.0,-320000000.0,-243370000.0,-243000000.0,-151654000.0,-152000000.0,-222537000.0,788000.0
Issuance (repayment) of debt,,25770000.0,,-19531000.0,,-112469000.0,,-20984000.0,,20000000.0,-5988000.0
Issuance (buybacks) of shares,,-93932000.0,,-65579000.0,,-89995000.0,,-74068000.0,,-53311000.0,-58742000.0
Dividend payments,,-7858000.0,,-6953000.0,,-6076000.0,,-4820000.0,,-2747000.0,-1472000.0
Financing Cash Flow,184000000.0,235850000.0,236000000.0,261879000.0,262000000.0,231636000.0,232000000.0,135038000.0,135000000.0,197708000.0,-5239000.0
Effect of forex changes on cash,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,-16000000.0,96050000.0,29000000.0,67312000.0,-24000000.0,15537000.0,16000000.0,10135000.0,10000000.0,6683000.0,35044000.0
Free Cash Flow,,34161000.0,,32576000.0,,23045000.0,,24795000.0,,29539000.0,36895000.0
Net Cash/Marketcap,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
