Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,267360000.0,187727000.0,124371000.0,93466000.0
Revenue Growth,0.424195773650034,0.509411357953221,0.330654997539212,
Cost of Revenue,43167000.0,25588000.0,14219000.0,10914000.0
Gross Profit,224193000.0,162139000.0,110152000.0,82552000.0
R&D Expenses,76698000.0,57673000.0,40085000.0,25288000.0
SG&A Expense,220076000.0,145226000.0,105900000.0,101271000.0
Operating Expenses,296774000.0,202899000.0,145985000.0,
Operating Income,-72581000.0,-40760000.0,-35833000.0,-18719000.0
Interest Expense,0.0,0.0,0.0,
Earnings before Tax,-71157000.0,-40851000.0,-36365000.0,-85947000.0
Income Tax Expense,2364000.0,171000.0,843000.0,2188000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,0.0,
Net Income,-73521000.0,-41022000.0,-37208000.0,
Preferred Dividends,0.0,763000.0,763000.0,
Net Income Com,-73521000.0,-41785000.0,-37971000.0,-83788000.0
EPS,-1.38,-1.88,-1.81,-0.94
EPS Diluted,-1.38,-1.88,-1.81,-0.94
Weighted Average Shs Out,53669000.0,89379000.0,89379000.0,89379000.0
Weighted Average Shs Out (Dil),53669000.0,22211000.0,20974000.0,
Dividend per Share,0.0,0.0,0.0,
Gross Margin,0.838543536804,0.8637,0.8857,0.8832
EBITDA Margin,-0.248313135847,-0.193,-0.268,
EBIT Margin,-0.271472920407,-0.2176,-0.2924,
Profit Margin,-0.274988779174,-0.223,-0.305,
Free Cash Flow margin,-0.0310143626571,-0.0481,-0.0688,
EBITDA,-66389000.0,-36159000.0,-33305000.0,
EBIT,-72581000.0,-40851000.0,-36365000.0,
Consolidated Income,-73521000.0,-41022000.0,-37208000.0,
Earnings Before Tax Margin,-0.266146768402,-0.2176,-0.2924,-0.9196
Net Profit Margin,-0.274988779174,-0.2185,-0.2992,
