Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,1991000000.0,1991000000.0,0.0,2009000000.0,0.0,1923000000.0,0.0,1898000000.0,0.0,1900000000.0,0.0,0.0,0.0,0.0,1804000000.0
Revenue Growth,0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0338
Cost of Revenue,511000000.0,863000000.0,1060000000.0,901000000.0,1057000000.0,903000000.0,1082000000.0,927000000.0,1123000000.0,970000000.0,1108000000.0,1076000000.0,1085000000.0,1156000000.0,1206000000.0
Gross Profit,1480000000.0,1128000000.0,-1060000000.0,1108000000.0,-1057000000.0,1020000000.0,-1082000000.0,971000000.0,-1123000000.0,930000000.0,-1108000000.0,-1076000000.0,-1085000000.0,-1156000000.0,598000000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
SG&A Expense,271000000.0,,264000000.0,,247000000.0,,241000000.0,,227000000.0,,219000000.0,216000000.0,218000000.0,186000000.0,179000000.0
Operating Expenses,1134000000.0,782000000.0,573000000.0,732000000.0,533000000.0,687000000.0,507000000.0,662000000.0,484000000.0,637000000.0,496000000.0,427000000.0,419000000.0,360000000.0,390000000.0
Operating Income,346000000.0,346000000.0,376000000.0,376000000.0,333000000.0,333000000.0,309000000.0,309000000.0,293000000.0,293000000.0,206000000.0,302000000.0,309000000.0,267000000.0,208000000.0
Interest Expense,124000000.0,124000000.0,120000000.0,120000000.0,112000000.0,112000000.0,114000000.0,114000000.0,96000000.0,96000000.0,101000000.0,108000000.0,110000000.0,110000000.0,104000000.0
Earnings before Tax,229000000.0,,273000000.0,,243000000.0,,217000000.0,,235000000.0,,125000000.0,204000000.0,205000000.0,174000000.0,131000000.0
Income Tax Expense,17000000.0,17000000.0,86000000.0,86000000.0,50000000.0,50000000.0,45000000.0,45000000.0,61000000.0,61000000.0,21000000.0,64000000.0,58000000.0,53000000.0,36000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,-6000000.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income,212000000.0,212000000.0,187000000.0,187000000.0,193000000.0,193000000.0,172000000.0,172000000.0,175000000.0,175000000.0,105000000.0,141000000.0,147000000.0,125000000.0,95000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income Com,212000000.0,212000000.0,187000000.0,187000000.0,193000000.0,193000000.0,172000000.0,172000000.0,175000000.0,175000000.0,105000000.0,141000000.0,147000000.0,125000000.0,95000000.0
EPS,2.38,2.38,2.1,2.10,2.17,2.17,2.05,2.05,2.24,2.24,1.36,1.87,1.95,1.66,1.31
EPS Diluted,2.37,2.37,2.1,2.10,2.16,2.16,2.04,2.04,2.18,2.18,1.35,1.87,1.95,1.66,1.31
Weighted Average Shs Out,89215000.0,89000000.0,89056000.0,89000000.0,88896000.0,89000000.0,84180000.0,84000000.0,78180000.0,78000000.0,76821000.0,75498000.0,75333000.0,75275000.0,75191682.0
Weighted Average Shs Out (Dil),89347000.0,89000000.0,89176000.0,89000000.0,89054000.0,89000000.0,84341000.0,84000000.0,80494000.0,80000000.0,77388000.0,75647000.0,75350000.0,75291000.0,72790000.0
Dividend per Share,1.39903969915,,1.32322598008,,1.23520560559,,1.15009307454,,1.08082590007,,1.08543960304,1.07076288551,1.04844061048,1.03598039606,1.01
Gross Margin,0.743345052737,0.56654947262682,0.0,0.55151816824291,0.0,0.53042121684867,0.0,0.51159114857745,0.0,0.48947368421053,0.0,0.0,0.0,0.0,0.3315
EBITDA Margin,0.365645404319,0.36916122551482,0.0,0.36734693877551,0.0,0.35153406136245,0.0,0.33508956796628,0.0,0.33263157894737,0.0,0.0,0.0,0.0,0.247
EBIT Margin,0.173782019086,0.17729784028127,0.0,0.19561971129915,0.0,0.18460738429537,0.0,0.17439409905163,0.0,0.17473684210526,0.0,0.0,0.0,0.0,0.1303
Profit Margin,0.106479156203,0.10647915620291,0.0,0.093081134892982,0.0,0.10036401456058,0.0,0.090621707060063,0.0,0.092105263157895,0.0,0.0,0.0,0.0,0.053
Free Cash Flow margin,0.0175791059769,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,-0.1718
EBITDA,728000000.0,735000000.0,721000000.0,738000000.0,654000000.0,676000000.0,614000000.0,636000000.0,594000000.0,632000000.0,454000000.0,550000000.0,536000000.0,505000000.0,446000000.0
EBIT,346000000.0,353000000,376000000.0,393000000,333000000.0,355000000,309000000.0,331000000,293000000.0,332000000,206000000.0,302000000.0,309000000.0,267000000.0,235000000.0
Consolidated Income,212000000.0,212000000.0,187000000.0,187000000.0,193000000.0,193000000.0,172000000.0,172000000.0,175000000.0,175000000.0,105000000.0,141000000.0,147000000.0,125000000.0,89000000.0
Earnings Before Tax Margin,0.115017579106,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0726
Net Profit Margin,0.106479156203,0.10647915620291,0.0,0.093081134892982,0.0,0.10036401456058,0.0,0.090621707060063,0.0,0.092105263157895,0.0,0.0,0.0,0.0,0.0527
