Date,2019-06-30,2018-06-30
Depreciation & Amortization,0.0,0.0
Stock-based compensation,10636000.0,2481000.0
Operating Cash Flow,-23007000.0,-27785000.0
Capital Expenditure,-102970000.0,-21475000.0
Acquisitions and disposals,-139594000.0,19244000.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-240672000.0,-530000.0
Issuance (repayment) of debt,191183000.0,-5827000.0
Issuance (buybacks) of shares,87042000.0,61440000.0
Dividend payments,0.0,0.0
Financing Cash Flow,268320000.0,50613000.0
Effect of forex changes on cash,-6777000.0,29000.0
Net cash flow / Change in cash,-2136000.0,22327000.0
Free Cash Flow,-125977000.0,-49260000.0
Net Cash/Marketcap,,
