Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,338000000.0,338000000.0,320000000.0,320000000.0,304000000.0,304000000.0,296000000.0,296000000.0,266000000.0,266000000.0,39000000.0,33200000.0
Stock-based compensation,0.0,,0.0,,0.0,,0.0,,0.0,,100000.0,100000.0
Operating Cash Flow,1610000000.0,1610000000.0,1462000000.0,1462000000.0,1522000000.0,1522000000.0,1333000000.0,1333000000.0,1029000000.0,1029000000.0,240800000.0,220100000.0
Capital Expenditure,1888000000.0,-1928000000.0,2334000000.0,-2414000000.0,1883000000.0,-1883000000.0,1081000000.0,-1081000000.0,1019000000.0,-1019000000.0,42300000.0,98400000.0
Acquisitions and disposals,-0.0,-40000000.0,-0.0,-80000000.0,-0.0,000000.0,-0.0,000000.0,-2553000000.0,000000.0,-318700000.0,-389600000.0
Investment purchases and sales,0.0,-330000000,0.0,-250000000,0.0,-135000000,0.0,-160000000,0.0,-135000000,0.0,0.0
Investing Cash flow,-2289000000.0,-2289000000.0,-2754000000.0,-2754000000.0,-1830000000.0,-1830000000.0,-1077000000.0,-1077000000.0,-3689000000.0,-3689000000.0,-501000000.0,-286000000.0
Issuance (repayment) of debt,-822000000.0,-822000000.0,-280000000.0,-280000000.0,-32000000.0,-32000000.0,-441000000.0,-441000000.0,-46000000.0,-46000000.0,-150000000.0,-207200000.0
Issuance (buybacks) of shares,-107000000.0,,-216000000.0,,-168000000.0,,-140000000.0,,-121000000.0,,-20600000.0,-800000.0
Dividend payments,-49000000.0,,-30000000.0,,-31000000.0,,-29000000.0,,-19000000.0,,-0.0,-0.0
Financing Cash Flow,570000000.0,570000000.0,1340000000.0,1340000000.0,336000000.0,336000000.0,-237000000.0,-237000000.0,2733000000.0,2733000000.0,280000000.0,39300000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,-109000000.0,-109000000.0,48000000.0,48000000.0,28000000.0,28000000.0,19000000.0,19000000.0,73000000.0,73000000.0,19800000.0,-26600000.0
Free Cash Flow,-278000000.0,-318000000.0,-872000000.0,-952000000.0,-361000000.0,-361000000.0,252000000.0,252000000.0,10000000.0,10000000.0,198500000.0,121700000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
