Date,2018-12-31,2017-12-31
Cash and cash equivalents,686000000.0,764000000.0
Short-term investments,0.0,0.0
Cash and short-term investments,686000000.0,764000000.0
Receivables,343000000.0,386000000.0
Inventories,39000000.0,45000000.0
Total current assets,1529000000.0,1585000000.0
Property Plant & Equipment Net,3041000000.0,2880000000.0
Goodwill and Intangible Assets,2374000000.0,1265000000.0
Long-term investments,3036000000.0,3207000000.0
Tax assets,310000000.0,279000000.0
Total non-current assets,8787000000.0,7879000000.0
Total assets,10316000000.0,9464000000.0
Payables,617000000.0,592000000.0
Short-term debt,458000000.0,185000000.0
Total current liabilities,2684000000.0,1989000000.0
Long-term debt,4123000000.0,3600000000.0
Total debt,4581000000.0,3785000000.0
Deferred revenue,0.0,0.0
Tax Liabilities,291000000.0,137000000.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,4842000000.0,4194000000.0
Total liabilities,7526000000.0,6183000000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),2525000000.0,3036000000.0
Total shareholders equity,2542000000.0,3096000000.0
Investments,3036000000.0,3207000000.0
Net Debt,,
Other Assets,,
Other Liabilities,1609000000.0,1212000000.0
