Date,2019-06-30,2018-06-30
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-204579.0,-38.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-70000000.0,
Investing Cash flow,-70000000.0,0.0
Issuance (repayment) of debt,460000.0,60000.0
Issuance (buybacks) of shares,69500000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,70900979.0,683.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,696400.0,
Free Cash Flow,-204579.0,
Net Cash/Marketcap,0.0023,
