Date,2019-09-28,2018-09-29,2018-09,2017-09-30,2017-09,2016-09-24,2016-09,2015-09-26,2015-09,2014-09-27,2014-09,2013-09-28,2012-09-29,2011-09-24
Revenue,2383010000.0,2215400000.0,2215000000.0,2054478000.0,2054000000.0,1829017000.0,1829000000.0,1650737000.0,1651000000.0,1604357000.0,1604000000.0,1653633000.0,1700013000.0,1628652000.0
Revenue Growth,0.0756567662724564,0.00018058690744921,0.0781327422342804,0.000232716650438169,0.12300760463134,0.00000929469655549481,0.107989946308831,-0.000159297395517868,0.0290727063864215,0.000222568578553616,-0.0300145195457517,-0.0272821443130141,0.0438159901562765,0.0
Cost of Revenue,1678969000.0,1539986000.0,1540000000.0,1421670000.0,1422000000.0,1275967000.0,1276000000.0,1162685000.0,1163000000.0,1150333000.0,1150000000.0,1189731000.0,1185855000.0,1134733000.0
Gross Profit,704041000.0,675376000.0,675000000.0,632808000.0,633000000.0,553050000.0,553000000.0,488052000.0,488000000.0,454024000.0,454000000.0,463902000.0,514158000.0,493919000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,551973000.0,508040000.0,508000000.0,476696000.0,477000000.0,421864000.0,422000000.0,389345000.0,389000000.0,397811000.0,398000000.0,416038000.0,439737000.0,408744000.0
Operating Expenses,551973000.0,508040000.0,508000000.0,476696000.0,477000000.0,421864000.0,422000000.0,389345000.0,389000000.0,397811000.0,398000000.0,416038000.0,439737000.0,408744000.0
Operating Income,152068000.0,167336000.0,167000000.0,156112000.0,156000000.0,129358000.0,131000000.0,91435000.0,99000000.0,56213000.0,56000000.0,40155000.0,74421000.0,85175000.0
Interest Expense,42614000.0,39196000.0,39000000.0,28209000.0,28000000.0,42847000.0,43000000.0,40027000.0,40000000.0,42844000.0,43000000.0,43112000.0,40315000.0,38044000.0
Earnings before Tax,119251000.0,127425000.0,127000000.0,126429000.0,126000000.0,69638000.0,70000000.0,51550000.0,52000000.0,13866000.0,14000000.0,-3492000.0,34929000.0,47977000.0
Income Tax Expense,26604000.0,3305000.0,3000000.0,46699000.0,47000000.0,24053000.0,24000000.0,18535000.0,19000000.0,4045000.0,4000000.0,-2592000.0,12816000.0,19595000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,92786000.0,123594000.0,124000000.0,78828000.0,79000000.0,44514000.0,45000000.0,31971000.0,32000000.0,8804000.0,9000000.0,-1929000.0,21173000.0,28323000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,92786000.0,123594000.0,124000000.0,78828000.0,79000000.0,44514000.0,45000000.0,31971000.0,32000000.0,8804000.0,9000000.0,-1929000.0,21173000.0,28323000.0
EPS,1.63,2.39,2.39,1.57,1.57,0.91,0.91,0.66,0.66,0.18,0.18,-0.04,0.44,0.5
EPS Diluted,1.61,2.32,2.32,1.52,1.52,0.87,0.87,0.64,0.64,0.18,0.18,-0.04,0.44,0.5
Weighted Average Shs Out,56770000.0,51716000.0,52000000.0,50230000.0,50000000.0,48964000.0,49000000.0,48562000.0,49000000.0,48880000.0,49000000.0,48094000.0,47622000.0,56217000.0
Weighted Average Shs Out (Dil),57611000.0,53341000.0,53000000.0,51820000.0,52000000.0,51075000.0,51000000.0,49638000.0,50000000.0,49397000.0,49000000.0,48094000.0,48374000.0,56645000.0
Dividend per Share,0.00131919251532,0.0299394462046,,0.019664222308,,0.0115907978463,,0.0338450380757,,0.0128145433933,,0.0130785544974,0.0,0.0264807132139
Gross Margin,0.295441899111,0.304855105173,0.30474040632054,0.308014006478,0.30817916260954,0.302375538336,0.30235101148168,0.295657030769,0.29557843731072,0.282994370954,0.28304239401496,0.280535040121,0.302443569549,0.303268592677
EBITDA Margin,0.0859115152685,0.0976275164756,0.096613995485327,0.0974417832656,0.095910418695229,0.0934179398005,0.083105522143248,0.0770165083838,0.075711689884918,0.0573401057246,0.057356608478803,0.0442196061641,0.0616736460251,0.0698375097934
EBIT Margin,0.063813412449,0.0755330865758,0.074943566591422,0.0759862115827,0.074975657254138,0.0707254224537,0.061235647895025,0.0553904104651,0.05511811023622,0.035037712928,0.034912718204489,0.024282897112,0.0437767240603,0.0522978512291
Profit Margin,0.0389364711017,0.0557885709127,0.055981941309255,0.0383688703408,0.038461538461538,0.0243376633459,0.024603608529251,0.0193677127247,0.019382192610539,0.00548755669717,0.0056109725685786,-0.00116652243878,0.0124546106412,0.0173904554196
Free Cash Flow margin,0.0727638574744,0.0344258373206,,0.0339015555289,,0.0676888186386,,0.0396301773087,,0.0681232418969,,-0.0323251894465,0.0291627181674,0.0119393215985
EBITDA,204728000.0,216284000.0,214000000.0,200192000.0,197000000.0,170863000.0,152000000.0,127134000.0,125000000.0,91994000.0,92000000.0,73123000.0,104846000.0,113741000.0
EBIT,152068000.0,167336000.0,166000000,156112000.0,154000000,129358000.0,112000000,91435000.0,91000000,56213000.0,56000000,40155000.0,74421000.0,85175000.0
Consolidated Income,92786000.0,123594000.0,124000000.0,78828000.0,79000000.0,44514000.0,45000000.0,31971000.0,32000000.0,8804000.0,9000000.0,-1929000.0,21173000.0,28323000.0
