Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Revenue,223326000.0,223000000.0,44823000.0,45000000.0,317000.0,0000000.0,0.0,000000.0,0.0,000000.0,0.0
Revenue Growth,0.00146188340807175,3.97512437810945,-0.00393333333333333,140.955835962145,1,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,41137000.0,47000000.0,1256000.0,3000000.0,268000.0,0000000.0,0.0,000000.0,0.0,000000.0,0.0
Gross Profit,182189000.0,176000000.0,43567000.0,42000000.0,49000.0,0000000.0,0.0,000000.0,0.0,000000.0,0.0
R&D Expenses,308742000.0,319000000.0,235144000.0,254000000.0,155390000.0,157000000.0,118425000.0,143000000.0,75725000.0,78000000.0,47200000.0
SG&A Expense,336808000.0,337000000.0,158578000.0,159000000.0,78701000.0,79000000.0,23935000.0,24000000.0,14780000.0,15000000.0,6715000.0
Operating Expenses,702845000.0,656000000.0,415773000.0,413000000.0,236359000.0,236000000.0,167260000.0,167000000.0,92445000.0,92000000.0,61915000.0
Operating Income,-479519000.0,-480000000.0,-370950000.0,-371000000.0,-236042000.0,-236000000.0,-167260000.0,-167000000.0,-92445000.0,-92000000.0,-61915000.0
Interest Expense,19758000.0,20000000.0,16487000.0,6000000.0,15414000.0,6000000.0,-3776000.0,2000000.0,0.0,000000.0,0.0
Earnings before Tax,-494802000.0,-495000000.0,-385997000.0,-386000000.0,-251408000.0,-251000000.0,-171012000.0,-171000000.0,0.0,-92000000.0,0.0
Income Tax Expense,1324000.0,1000000.0,1475000.0,1000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,-496126000.0,-496000000.0,-387472000.0,-387000000.0,-251408000.0,-251000000.0,-171012000.0,-171000000.0,-92362000.0,-92000000.0,-61763000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income Com,-496126000.0,-496000000.0,-387472000.0,-387000000.0,-251408000.0,-251000000.0,-171012000.0,-171000000.0,-92362000.0,-92000000.0,-61763000.0
EPS,-9.17,-9.17,-8.13,-8.13,-6.38,-6.38,-4.79,-4.79,-2.93,-2.93,-4.51
EPS Diluted,-9.17,-9.17,-8.13,-8.13,-6.38,-6.38,-4.79,-4.79,-2.93,-2.93,-4.51
Weighted Average Shs Out,54080000.0,54000000.0,47652000.0,48000000.0,39387000.0,39000000.0,35739000.0,36000000.0,31559000.0,32000000.0,13696000.0
Weighted Average Shs Out (Dil),54080000.0,54000000.0,47652000.0,48000000.0,39387000.0,39000000.0,35739000.0,36000000.0,31559000.0,32000000.0,13696000.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Gross Margin,0.815798429202,0.78923766816143,0.971978671664,0.93333333333333,0.154574132492,,0.0,,0.0,,0.0
EBITDA Margin,-2.05195543734,-2.0896860986547,-7.97329496018,-8.3777777777778,-711.813880126,,0.0,,0.0,,0.0
EBIT Margin,-2.14717050411,-2.1300448430493,-8.27588514825,-8.4444444444444,-744.611987382,,0.0,,0.0,,0.0
Profit Margin,-2.22153264734,-2.2242152466368,-8.64449055173,-8.6,-793.085173502,,0.0,,0.0,,0.0
Free Cash Flow margin,-1.81841344044,,-6.48252013475,,-620.933753943,,0.0,,0.0,,0.0
EBITDA,-458255000.0,-466000000.0,-357387000.0,-377000000.0,-225645000.0,-244000000.0,-164662000.0,-169000000.0,-92266000.0,-92000000.0,-61851000.0
EBIT,-479519000.0,-475000000,-370950000.0,-380000000,-236042000.0,-245000000,-167260000.0,-169000000,-92445000.0,-92000000,-61915000.0
Consolidated Income,-496126000.0,-496000000.0,-387472000.0,-387000000.0,-251408000.0,-251000000.0,-171012000.0,-171000000.0,-92362000.0,-92000000.0,-61763000.0
Earnings Before Tax Margin,-2.21560409446,-2.219730941704,-8.61158333891,-8.5777777777778,-793.085173502,,0.0,,0.0,,0.0
Net Profit Margin,-2.22153264734,-2.2242152466368,-8.64449055173,-8.6,-793.085173502,,0.0,,0.0,,0.0
