Date,2018-12,2017-12,2016-12,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Depreciation & Amortization,1124000000.0,1030000000.0,976000000.0,852000000.0,2943000000.0,1145000000.0,2828000000.0,2437000000.0,2349000000.0,0.0
Stock-based compensation,,,,,104000000.0,,100000000.0,109000000.0,103000000.0,0.0
Operating Cash Flow,2680000000.0,2117000000.0,2084000000.0,1911000000.0,6369000000.0,1839000000.0,6394000000.0,5634000000.0,5185000000.0,0.0
Capital Expenditure,-2713000000.0,-2250000000.0,-2045000000.0,-2020000000.0,2940000000.0,-2049000000.0,3409000000.0,2960000000.0,2924000000.0,0.0
Acquisitions and disposals,,,,,-0.0,,-0.0,-0.0,-0.0,-0.0
Investment purchases and sales,15000000,14000000,-6000000,-13000000,-1386000000.0,-10000000,-4000000000.0,-5175000000.0,-5496000000.0,0.0
Investing Cash flow,-3347000000.0,-2564000000.0,-3388000000.0,-2204000000.0,-3363000000.0,-2060000000.0,-2038000000.0,-3363000000.0,-3022000000.0,0.0
Issuance (repayment) of debt,-105000000.0,-385000000.0,-866000000.0,-286000000.0,-501000000.0,-1237000000.0,-559000000.0,-1656000000.0,-1000000000.0,-0.0
Issuance (buybacks) of shares,,,,,-1386000000.0,,-4000000000.0,-5175000000.0,-5496000000.0,0.0
Dividend payments,,,,,-0.0,,-0.0,-0.0,-0.0,-0.0
Financing Cash Flow,654000000.0,421000000.0,1359000000.0,282000000.0,-168000000.0,217000000.0,-2176000000.0,-1242000000.0,-2792000000.0,0.0
Effect of forex changes on cash,,,,,-383000000.0,,-187000000.0,0.0,0.0,0.0
Net cash flow / Change in cash,-13000000.0,-26000000.0,55000000.0,-11000000.0,4635000000.0,-4000000.0,2180000000.0,1902000000.0,873000000.0,0.0
Free Cash Flow,-33000000.0,-133000000.0,39000000.0,-109000000.0,3429000000.0,-210000000.0,2985000000.0,2674000000.0,2261000000.0,0.0
Net Cash/Marketcap,,,,,0.0,,0.0,0.0,0.0,0.0
