Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,481048000.0,481000000.0,471317000.0,471000000.0,477243000.0,477000000.0,542932000.0,543000000.0,546892000.0,547000000.0,538740000.0,586960000.0
Revenue Growth,0.0000997920997920998,0.0205445591820367,0.000673036093418259,-0.0130813862120555,0.000509433962264151,-0.121436938695822,-0.000125230202578269,-0.00711657877606548,-0.000197440585009141,0.0153320711289305,-0.0821521057652992,0.0
Cost of Revenue,296199000.0,296000000.0,293842000.0,294000000.0,288512000.0,289000000.0,327161000.0,327000000.0,337256000.0,337000000.0,345171000.0,370754000.0
Gross Profit,184849000.0,185000000.0,177475000.0,177000000.0,188731000.0,189000000.0,215771000.0,216000000.0,209636000.0,210000000.0,193569000.0,216206000.0
R&D Expenses,6581000.0,7000000.0,7100000.0,7000000.0,7404000.0,7000000.0,7903000.0,8000000.0,10037000.0,10000000.0,11681000.0,12097000.0
SG&A Expense,52752000.0,116000000.0,51063000.0,114000000.0,56250000.0,121000000.0,56539000.0,130000000.0,60214000.0,131000000.0,63701000.0,62012000.0
Operating Expenses,59333000.0,122000000.0,58163000.0,121000000.0,63654000.0,128000000.0,64442000.0,137000000.0,70251000.0,141000000.0,75382000.0,74109000.0
Operating Income,54782000.0,63000000.0,46140000.0,57000000.0,46014000.0,61000000.0,60185000.0,78000000.0,53372000.0,68000000.0,16396000.0,61101000.0
Interest Expense,0.0,,0.0,,38400000.0,,36768000.0,,40700000.0,,38200000.0,39531000.0
Earnings before Tax,-1007000.0,-1000000.0,-12336000.0,-12000000.0,9085000.0,9000000.0,22698000.0,23000000.0,8516000.0,9000000.0,-21597000.0,18869000.0
Income Tax Expense,13639000.0,14000000.0,9282000.0,9000000.0,13465000.0,13000000.0,30080000.0,30000000.0,4363000.0,4000000.0,-3562000.0,10679000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,-14646000.0,-15000000.0,-21618000.0,-22000000.0,-4380000.0,-4000000.0,-7382000.0,-7000000.0,4153000.0,4000000.0,-18035000.0,8190000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,-14646000.0,-15000000.0,-21618000.0,-22000000.0,-4380000.0,-4000000.0,-7382000.0,-7000000.0,4153000.0,4000000.0,-18035000.0,8190000.0
EPS,-0.9,-0.90,-1.35,-1.35,-0.28,-0.28,-0.48,-0.48,0.27,0.27,-1.18,0.54
EPS Diluted,-0.9,-0.90,-1.35,-1.35,-0.28,-0.28,-0.48,-0.48,0.26,0.26,-1.18,0.54
Weighted Average Shs Out,16282536.0,16000000.0,15994467.0,16000000.0,15640836.0,16000000.0,15458810.0,15000000.0,15359445.0,15000000.0,15222462.0,15079771.0
Weighted Average Shs Out (Dil),16282536.0,16000000.0,15994467.0,16000000.0,15640836.0,16000000.0,15458810.0,15000000.0,15882376.0,16000000.0,15222462.0,15083835.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Gross Margin,0.384263108879,0.38461538461538,0.376551238339,0.37579617834395,0.395461012524,0.39622641509434,0.397418092874,0.39779005524862,0.383322484147,0.38391224862888,0.359299476556,0.368348780155
EBITDA Margin,0.19025336349,0.1995841995842,0.174317921908,0.18895966029724,0.16506056663,0.18867924528302,0.180096218311,0.20810313075506,0.169572785852,0.19195612431444,0.112592345102,0.182455363227
EBIT Margin,0.113880527515,-0.0020790020790021,0.0978958959681,-0.0276008492569,0.0964162910718,0.018867924528302,0.110851819381,0.042357274401473,0.0975914805848,0.014625228519196,0.0304339755726,0.104097383127
Profit Margin,-0.0304460261762,-0.031185031185031,-0.0458672188782,-0.046709129511677,-0.00917771449765,-0.0083857442348008,-0.0135965461605,-0.012891344383057,0.0075938210835,0.0073126142595978,-0.0334762594201,0.0139532506474
Free Cash Flow margin,0.051377409323,,0.0774616659276,,0.0652979718927,,0.0126940390325,,0.066034975827,,0.0729888257787,0.0770205806188
EBITDA,91521000.0,96000000.0,82159000.0,89000000.0,78774000.0,90000000.0,97780000.0,113000000.0,92738000.0,105000000.0,60658000.0,107094000.0
EBIT,54782000.0,-1000000,46140000.0,-13000000,46014000.0,9000000,60185000.0,23000000,53372000.0,8000000,16396000.0,61101000.0
Consolidated Income,-14646000.0,-15000000.0,-21618000.0,-22000000.0,-4380000.0,-4000000.0,-7382000.0,-7000000.0,4153000.0,4000000.0,-18035000.0,8190000.0
Earnings Before Tax Margin,-0.00209334619414,-0.0020790020790021,-0.0261734671145,-0.025477707006369,0.0190364237925,0.018867924528302,0.0418063403889,0.042357274401473,0.0155716302305,0.016453382084095,-0.0400879830716,0.0321469946845
Net Profit Margin,-0.0304460261762,-0.031185031185031,-0.0458672188782,-0.046709129511677,-0.00917771449765,-0.0083857442348008,-0.0135965461605,-0.012891344383057,0.0075938210835,0.0073126142595978,-0.0334762594201,0.0139532506474
