Date,2018-12-31,2017-12-31
Depreciation & Amortization,1677000.0,582000.0
Stock-based compensation,263000.0,75000.0
Operating Cash Flow,7992000.0,-12514000.0
Capital Expenditure,-3063000.0,-8652000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-3063000.0,-8652000.0
Issuance (repayment) of debt,-400000.0,-140000.0
Issuance (buybacks) of shares,4000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,121417000.0,24860000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,126346000.0,3694000.0
Free Cash Flow,4929000.0,-21166000.0
Net Cash/Marketcap,0.2877,0.2877
