Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,126012000.0,176737000.0,132923000.0,111204000.0,88996000.0
Revenue Growth,-0.287008379682806,0.329619403714933,0.195307722743786,0.24953930513731,
Cost of Revenue,11997000.0,64597000.0,50123000.0,48481000.0,36797000.0
Gross Profit,141818000.0,112140000.0,82800000.0,62723000.0,52199000.0
R&D Expenses,44724000.0,34835000.0,22994000.0,16750000.0,13488000.0
SG&A Expense,143813000.0,109116000.0,71176000.0,50815000.0,52461000.0
Operating Expenses,188537000.0,143951000.0,94170000.0,67565000.0,65949000.0
Operating Income,-46719000.0,-31811000.0,-11370000.0,-4842000.0,-13750000.0
Interest Expense,0.0,0.0,982000.0,188000.0,19000.0
Earnings before Tax,-49212000.0,-30246000.0,-14144000.0,-6609000.0,-15855000.0
Income Tax Expense,239000.0,761000.0,-1683000.0,378000.0,1204000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,-49451000.0,-31007000.0,-12461000.0,-6987000.0,-17059000.0
Preferred Dividends,0.0,0.0,857000.0,861000.0,856000.0
Net Income Com,-49451000.0,-31007000.0,-13318000.0,-7848000.0,-17915000.0
EPS,-0.8,-0.63,-0.39,-0.23,-0.5
EPS Diluted,-0.8,-0.63,-0.39,-0.23,-0.5
Weighted Average Shs Out,62140684.0,49529833.0,58687876.0,58688000.0,
Weighted Average Shs Out (Dil),62140684.0,49529833.0,34274718.0,34274718.0,35717803.0
Dividend per Share,0.0,0.152736230708,0.0,0.0,0.0
Gross Margin,1.12543249849,0.63450211331,0.6229,0.564,0.5865
EBITDA Margin,-0.354712249627,-0.174977508954,-0.093,-0.051,-0.171
EBIT Margin,-0.370750404723,-0.179990607513,-0.099,-0.0577,-0.1779
Profit Margin,-0.392430879599,-0.175441475186,-0.1,-0.071,-0.201
Free Cash Flow margin,-0.304217058693,-0.0540973310625,-0.0658,-0.024,-0.0123
EBITDA,-44698000.0,-30925000.0,-12398000.0,-5658000.0,-15226000.0
EBIT,-46719000.0,-31811000.0,-13162000.0,-6421000.0,-15836000.0
Consolidated Income,-49451000.0,-31007000.0,-12461000.0,-6987000.0,-17059000.0
Earnings Before Tax Margin,-0.390534234835,-0.171135642225,-0.1064,-0.0594,-0.1782
Net Profit Margin,-0.392430879599,-0.175441475186,-0.0937,-0.0628,-0.1917
