Date,2018-12-31,2017-12-31
Depreciation & Amortization,1112200.0,1224395.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,8460341.0,6215421.0
Capital Expenditure,-1328520.0,-534860.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,-100318791.0,-66502853.0
Investing Cash flow,-101535890.0,-63579448.0
Issuance (repayment) of debt,32142089.0,11715969.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,-500000.0,0.0
Financing Cash Flow,91876965.0,55809028.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-1198584.0,-1554999.0
Free Cash Flow,7131821.0,5680561.0
Net Cash/Marketcap,,
