Date,2018-12-31,2017-12-31
Revenue,18531178.0,14144894.0
Revenue Growth,0.3101,
Cost of Revenue,6108676.0,5300087.0
Gross Profit,12422502.0,8844807.0
R&D Expenses,286842.0,355730.0
SG&A Expense,3818195.0,2544619.0
Operating Expenses,4105037.0,2900349.0
Operating Income,8317465.0,5944458.0
Interest Expense,142641.0,183291.0
Earnings before Tax,8524836.0,6080167.0
Income Tax Expense,605428.0,955194.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,7919408.0,5124973.0
Preferred Dividends,0.0,0.0
Net Income Com,7919408.0,5124973.0
EPS,0.24,0.16
EPS Diluted,0.24,0.16
Weighted Average Shs Out,34800000.0,
Weighted Average Shs Out (Dil),33000000.0,33000000.0
Dividend per Share,0.0,0.0
Gross Margin,0.6704,0.6253
EBITDA Margin,0.493,0.458
EBIT Margin,0.4677,0.4428
Profit Margin,0.427,0.362
Free Cash Flow margin,-0.0248,0.4903
EBITDA,9131015.0,6471415.0
EBIT,8667477.0,6263458.0
Consolidated Income,7919408.0,5124973.0
Earnings Before Tax Margin,0.46,0.4298
Net Profit Margin,0.4274,0.3623
