Date,2018-12-31,2017-12-31
Depreciation & Amortization,1669176.0,1304248.0
Stock-based compensation,882791.0,516977.0
Operating Cash Flow,12591355.0,6729619.0
Capital Expenditure,-1343674.0,-2478231.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,-272070796.0,-208020766.0
Investing Cash flow,-273414470.0,-213498997.0
Issuance (repayment) of debt,-13779666.0,14288000.0
Issuance (buybacks) of shares,42705142.0,17815583.0
Dividend payments,0.0,0.0
Financing Cash Flow,281406925.0,226192156.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,20583810.0,19422778.0
Free Cash Flow,11247681.0,4251388.0
Net Cash/Marketcap,,
