Date,2018-12-31,2017-12-31
Cash and cash equivalents,7889000.0,9097000.0
Short-term investments,0.0,0.0
Cash and short-term investments,7889000.0,9097000.0
Receivables,20616000.0,22630000.0
Inventories,20543000.0,15375000.0
Total current assets,53104000.0,53730000.0
Property Plant & Equipment Net,11281000.0,12744000.0
Goodwill and Intangible Assets,8142000.0,8110000.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,19585000.0,20998000.0
Total assets,72689000.0,74728000.0
Payables,5025000.0,5800000.0
Short-term debt,46000000.0,43000000.0
Total current liabilities,58680000.0,54423000.0
Long-term debt,0.0,0.0
Total debt,46000000.0,43000000.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,2994000.0,2629000.0
Total liabilities,61674000.0,57052000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-47417000.0,-38075000.0
Total shareholders equity,11015000.0,17676000.0
Investments,0.0,0.0
Net Debt,38111000.0,33903000.0
Other Assets,,
Other Liabilities,7655000.0,5623000.0
