Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Revenue,1000000.0,,67000.0,,39000.0,,26000.0,,
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,
Gross Profit,0.0,,0.0,,0.0,,0.0,,
R&D Expenses,0.0,,0.0,,0.0,,0.0,,
SG&A Expense,52542000.0,,47169000.0,,38110000.0,,31102000.0,,
Operating Expenses,52542000.0,,47169000.0,,38110000.0,,31102000.0,,
Operating Income,61100000.0,,-1374000.0,,25753000.0,,23107000.0,,
Interest Expense,31203000.0,,21916000.0,,10946000.0,,9428000.0,,
Earnings before Tax,61100000.0,,-1374000.0,,25753000.0,,23107000.0,,
Income Tax Expense,26964000.0,,-402000.0,,10314000.0,,8365000.0,,
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,
Net Income,34136000.0,34000000.0,-972000.0,-1000000.0,15439000.0,15000000.0,14742000.0,15000000.0,13000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,
Net Income Com,34136000.0,34000000.0,-972000.0,-1000000.0,15439000.0,15000000.0,14742000.0,15000000.0,13000000.0
EPS,0.92,0.92,-0.03,-0.03,0.54,0.54,0.65,0.65,0.61
EPS Diluted,0.92,0.92,-0.03,-0.03,0.53,0.53,0.64,0.64,0.60
Weighted Average Shs Out,37043000.0,37000000.0,36677000.0,37000000.0,28839000.0,29000000.0,22625000.0,23000000.0,21000000.0
Weighted Average Shs Out (Dil),37297000.0,37000000.0,36677000.0,37000000.0,29096000.0,29000000.0,22915000.0,23000000.0,21000000.0
Dividend per Share,0.0268118079202,,0.0,,0.0,,0.0,,
Gross Margin,0.0,,0.0,,0.0,,0.0,,
EBITDA Margin,68.775,,186.701492537,,926.256410256,,963.269230769,,
EBIT Margin,61.1,,-20.5074626866,,660.333333333,,888.730769231,,
Profit Margin,34.136,,-14.5074626866,,395.871794872,,567.0,,
Free Cash Flow margin,93.932,,1091.1641791,,655.256410256,,723.961538462,,
EBITDA,68775000.0,,12509000.0,,36124000.0,,25045000.0,,
EBIT,61100000.0,34000000,-1374000.0,-1000000,25753000.0,15000000,23107000.0,15000000,13000000
Consolidated Income,34136000.0,34000000.0,-972000.0,-1000000.0,15439000.0,15000000.0,14742000.0,15000000.0,13000000.0
Earnings Before Tax Margin,61.1,,-20.5074626866,,660.333333333,,888.730769231,,
Net Profit Margin,34.136,,-14.5074626866,,395.871794872,,567.0,,
