Date,2018-09-30,2018-09,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09-30,2014-09,2013-09-30,2012-09-30,2011-09-30,2010-09-30
Revenue,8665000000.0,8665000000.0,6822000000.0,6822000000.0,5259000000.0,5259000000.0,5244000000.0,5244000000.0,4979000000.0,4979000000.0,4610000000.0,4726000000.0,4806000000.0,4665000000.0
Revenue Growth,0,0.27015537965406,0,0.297204791785511,0,0.0028604118993135,0,0.0532235388632255,0,0.0800433839479393,-0.0245450698264917,-0.0166458593424886,0.0302250803858521,0.0
Cost of Revenue,6736000000.0,6382000000.0,5159000000.0,4868000000.0,3686000000.0,3642000000.0,3676000000.0,3630000000.0,3503000000.0,3469000000.0,3236000000.0,3326000000.0,3418000000.0,3015000000.0
Gross Profit,1929000000.0,2283000000.0,1663000000.0,1954000000.0,1573000000.0,1617000000.0,1568000000.0,1614000000.0,1476000000.0,1510000000.0,1374000000.0,1400000000.0,1388000000.0,1286000000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,268000000.0,,295000000.0,320000000.0,355000000.0,345000000.0
SG&A Expense,817000000.0,817000000.0,732000000.0,732000000.0,638000000.0,638000000.0,606000000.0,606000000.0,594000000.0,594000000.0,506000000.0,543000000.0,533000000.0,478000000.0
Operating Expenses,817000000.0,817000000.0,732000000.0,732000000.0,638000000.0,638000000.0,606000000.0,606000000.0,594000000.0,594000000.0,506000000.0,543000000.0,533000000.0,823000000.0
Operating Income,1112000000.0,1466000000.0,931000000.0,1222000000.0,935000000.0,979000000.0,962000000.0,1008000000.0,882000000.0,916000000.0,868000000.0,857000000.0,973000000.0,802000000.0
Interest Expense,0.0,262000000.0,29000000.0,187000000.0,0.0,64000000.0,0.0,61000000.0,0.0,59000000.0,0.0,0.0,0.0,0.0
Earnings before Tax,1112000000.0,1112000000.0,931000000.0,931000000.0,935000000.0,935000000.0,962000000.0,962000000.0,882000000.0,882000000.0,868000000.0,857000000.0,855000000.0,802000000.0
Income Tax Expense,80000000.0,80000000.0,226000000.0,226000000.0,208000000.0,208000000.0,268000000.0,268000000.0,264000000.0,264000000.0,236000000.0,248000000.0,240000000.0,241000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income,1032000000.0,1032000000.0,705000000.0,705000000.0,728000000.0,728000000.0,686000000.0,686000000.0,604000000.0,604000000.0,632000000.0,609000000.0,634000000.0,561000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,1032000000.0,1032000000.0,705000000.0,705000000.0,728000000.0,728000000.0,686000000.0,686000000.0,604000000.0,604000000.0,632000000.0,609000000.0,634000000.0,561000000.0
EPS,6.29,6.29,4.85,4.85,5.58,5.58,5.19,5.19,4.47,4.47,4.63,4.19,4.11,3.57
EPS Diluted,6.22,6.22,4.79,4.79,5.51,5.51,5.13,5.13,4.42,4.42,4.58,4.15,4.06,3.52
