Date,2019-10-31,2018-10-31,2018-10,2017-10-31,2017-10,2016-10-31,2016-10,2015-10-31,2015-10,2014-10-31,2014-10,2013-10-31,2012-10-31,2011-10-31
Depreciation & Amortization,12300000.0,11978000.0,3000000.0,18124000.0,4000000.0,16395000.0,4000000.0,15075000.0,3000000.0,13737000.0,3000000.0,12555000.0,13659000.0,15387000.0
Stock-based compensation,721000.0,3669000.0,4000000.0,557000.0,1000000.0,2921000.0,3000000.0,8816000.0,9000000.0,10279000.0,10000000.0,6842000.0,6453000.0,6219000.0
Operating Cash Flow,-249127000.0,-66822000.0,-67000000.0,297553000.0,298000000.0,387665000.0,388000000.0,-320535000.0,-321000000.0,-190585000.0,-191000000.0,9268000.0,-66998000.0,-207415000.0
Capital Expenditure,4005000.0,5193000.0,-5000000.0,6478000.0,-6000000.0,8007000.0,-8000000.0,2054000.0,-2000000.0,3423000.0,-3000000.0,1558000.0,5059000.0,826000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0,-0.0
Investment purchases and sales,0.0,0.0,-26000000,0.0,0,0.0,-50000000,0.0,-19000000,0.0,-11000000,0.0,-103000.0,0.0
Investing Cash flow,-8307000.0,35501000.0,36000000.0,-27155000.0,-27000000.0,-48978000.0,-49000000.0,2472000.0,2000000.0,-14155000.0,-14000000.0,30285000.0,-1500000.0,1195000.0
Issuance (repayment) of debt,-570032000.0,-76829000.0,-645000000.0,-861976000.0,-1080000000.0,-409646000.0,-682000000.0,-4238000.0,-206000000.0,-5960000.0,-141000000.0,-6231000.0,-941158000.0,-185763000.0
Issuance (buybacks) of shares,-130976000.0,-187871000.0,,-469320000.0,,-346765000.0,,-253745000.0,,-261898000.0,,-329204000.0,47221000.0,-195841000.0
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0,-0.0
Financing Cash Flow,206708000.0,-229429000.0,-229000000.0,-147843000.0,-148000000.0,-245667000.0,-246000000.0,309910000.0,310000000.0,137434000.0,137000000.0,16419000.0,90990000.0,89780000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net cash flow / Change in cash,130976000.0,187871000.0,-261000000.0,122555000.0,123000000.0,93020000.0,93000000.0,-8153000.0,-8000000.0,-67306000.0,-67000000.0,55972000.0,22492000.0,-116440000.0
Free Cash Flow,-253132000.0,-72015000.0,-72000000.0,291075000.0,291000000.0,379658000.0,380000000.0,-322589000.0,-323000000.0,-194008000.0,-194000000.0,7710000.0,-72057000.0,-208241000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
