Date,2018-12-31,2017-12-31
Depreciation & Amortization,654000.0,531000.0
Stock-based compensation,455000.0,91000.0
Operating Cash Flow,-17024000.0,-14614000.0
Capital Expenditure,-436000.0,-1863000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-436000.0,-1863000.0
Issuance (repayment) of debt,5000000.0,0.0
Issuance (buybacks) of shares,73000.0,27000.0
Dividend payments,0.0,0.0
Financing Cash Flow,41712000.0,27978000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,24252000.0,11501000.0
Free Cash Flow,-17460000.0,-16477000.0
Net Cash/Marketcap,0.3873,0.3873
