Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31
Revenue,1213977000.0,1123848000.0,1066054000.0,1062483000.0,1040781000.0,941797000.0,1039435000.0,1378364000.0,1504279000.0,0.0,0.0,1520525000.0,1708526000.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0076
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3118294000.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1409768000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,182768000.0,178211000.0,159638000.0,150763000.0,155577000.0,138441000.0,181877000.0,193995000.0,207870000.0,0.0,0.0,218080000.0,239612000.0
Operating Expenses,182768000.0,178211000.0,159638000.0,150763000.0,155577000.0,138441000.0,181877000.0,193995000.0,207870000.0,0.0,0.0,218080000.0,266019000.0
Operating Income,847977000.0,844150000.0,784496000.0,514714000.0,487687000.0,254723000.0,-46152000.0,-928644000.0,-484299000.0,0.0,0.0,-359400000.0,-1675787000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98589000.0,89266000.0
Earnings before Tax,847977000.0,844150000.0,784496000.0,514714000.0,487687000.0,254723000.0,-46152000.0,-928644000.0,-484299000.0,0.0,0.0,-359400000.0,-1765053000.0
Income Tax Expense,174214000.0,174053000.0,428735000.0,172197000.0,-684313000.0,2774000.0,3696000.0,-1565000.0,1593000.0,0.0,0.0,4335000.0,-442776000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,673763000.0,670097000.0,355761000.0,342517000.0,1172000000.0,251949000.0,-49848000.0,-927079000.0,-485892000.0,0.0,0.0,-363735000.0,-1322277000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,673763000.0,670097000.0,355761000.0,342517000.0,1172000000.0,251949000.0,-49848000.0,-927079000.0,-485892000.0,0.0,0.0,-363735000.0,-1322277000.0
EPS,1.91,1.83,0.98,1.0,3.45,0.74,-0.16,-4.59,-2.42,0.0,0.0,-2.06,-10.65
EPS Diluted,1.85,1.78,0.95,0.86,2.6,0.64,-0.16,-4.59,-2.42,0.0,0.0,-2.06,-10.65
Weighted Average Shs Out,352827000.0,365406000.0,362380000.0,342890000.0,339552000.0,338523000.0,311754000.0,201892000.0,201019000.0,0.0,0.0,176406.0,125101817.0
Weighted Average Shs Out (Dil),373924000.0,386078000.0,394766000.0,431992000.0,468039000.0,413547000.0,311754000.0,201892000.0,201019000.0,0.0,0.0,176406.0,124209000.0
Dividend per Share,0.112322290091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8251
EBITDA Margin,0.738696861637,0.802924416825,0.796325514467,0.542179027806,0.519077500454,0.321818820829,0.0217079471059,-0.601081426967,-0.26555645595,0.0,0.0,-0.191681162756,-0.946
EBIT Margin,0.698511586299,0.751124707256,0.735887675484,0.484444456994,0.468577923694,0.270464866633,-0.0444010447984,-0.673729145567,-0.321947590839,0.0,0.0,-0.236365728942,-0.9808
Profit Margin,0.555004748854,0.596252340174,0.333717616556,0.322374099162,1.12607743608,0.267519433593,-0.0479568226969,-0.672593741566,-0.323006569925,0.0,0.0,-0.23921671791,-0.774
Free Cash Flow margin,0.497452587652,0.471842277603,0.366389507473,0.196813501957,0.141630179644,-0.435320987431,-0.934672201725,-1.13801579264,-1.25232819178,0.0,0.0,-0.575741931241,0.1931
EBITDA,896761000.0,902365000.0,848926000.0,576056000.0,540246000.0,303088000.0,22564000.0,-828509000.0,-399471000.0,0.0,0.0,-291456000.0,-1615438000.0
EBIT,847977000.0,844150000.0,784496000.0,514714000.0,487687000.0,254723000.0,-46152000.0,-928644000.0,-484299000.0,0.0,0.0,-359400000.0,-1675787000.0
Consolidated Income,673763000.0,670097000.0,355761000.0,342517000.0,1172000000.0,251949000.0,-49848000.0,-927079000.0,-485892000.0,0.0,0.0,-363735000.0,-1322277000.0
Earnings Before Tax Margin,0.698511586299,0.751124707256,0.735887675484,0.484444456994,0.468577923694,0.270464866633,-0.0444010447984,-0.673729145567,-0.321947590839,0.0,0.0,-0.236365728942,-1.0331
Net Profit Margin,0.555004748854,0.596252340174,0.333717616556,0.322374099162,1.12607743608,0.267519433593,-0.0479568226969,-0.672593741566,-0.323006569925,0.0,0.0,-0.23921671791,-0.7739
