Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,171924.7467,105350.6651,110151.1879
Stock-based compensation,985238.7844,949667.4728,666090.7127
Operating Cash Flow,29308104.1968,29037484.8851,22303383.7293
Capital Expenditure,-5643.9942,-303657.7993,-469546.4363
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,700723.589,321795.6469,0.0
Investing Cash flow,695079.5948,18137.8476,-469546.4363
Issuance (repayment) of debt,0.0,0.0,0.0
Issuance (buybacks) of shares,0.0,0.0,0.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,-39708393.6324,-50322853.688,28843916.4867
Effect of forex changes on cash,11143.2706,-13754.5345,18574.514
Net cash flow / Change in cash,-9694066.5702,-21280985.4897,50696328.2937
Free Cash Flow,29302460.2026,28733827.0859,21833837.293
Net Cash/Marketcap,,,
