Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Revenue,28353000.0,36839000.0,37000000.0,39738000.0,40000000.0,41231000.0,41000000.0,55284000.0,55000000.0,60537000.0,61000000.0,0.0
Revenue Growth,-0.230353701240533,-0.00435135135135135,-0.068901303538175,-0.00655,-0.0298561761781184,0.00563414634146341,-0.258374936690543,0.00516363636363636,-0.0914647240530585,-0.00759016393442623,0.0,0.0
Cost of Revenue,22455000.0,28773000.0,29000000.0,28846000.0,29000000.0,28778000.0,29000000.0,39880000.0,40000000.0,45816000.0,46000000.0,0.0
Gross Profit,5898000.0,8066000.0,8000000.0,10892000.0,11000000.0,12453000.0,12000000.0,15404000.0,15000000.0,14721000.0,15000000.0,0.0
R&D Expenses,3970000.0,4657000.0,5000000.0,7826000.0,8000000.0,6538000.0,7000000.0,4703000.0,5000000.0,6723000.0,7000000.0,0.0
SG&A Expense,8292000.0,11837000.0,14000000.0,11903000.0,13000000.0,12374000.0,12000000.0,13728000.0,15000000.0,14946000.0,16000000.0,0.0
Operating Expenses,12262000.0,23724000.0,24000000.0,21211000.0,21000000.0,20078000.0,20000000.0,19670000.0,20000000.0,22558000.0,23000000.0,0.0
Operating Income,-5884000.0,-15658000.0,-16000000.0,-10319000.0,-10000000.0,-7625000.0,-8000000.0,-4266000.0,-4000000.0,-7837000.0,-8000000.0,0.0
Interest Expense,260000.0,1535000.0,000000.0,1166000.0,000000.0,1176000.0,1000000.0,1406000.0,1000000.0,1479000.0,1000000.0,0.0
Earnings before Tax,-5198000.0,-24432000.0,-24000000.0,-8821000.0,-9000000.0,-8975000.0,-9000000.0,-6428000.0,-6000000.0,-10061000.0,-10000000.0,0.0
Income Tax Expense,85000.0,-958000.0,-1000000.0,-399000.0,-0000000.0,138000.0,0000000.0,352000.0,0000000.0,-367000.0,-0000000.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,-5283000.0,-23474000.0,-23000000.0,-8534000.0,-9000000.0,-9336000.0,-9000000.0,-7098000.0,-7000000.0,-9660000.0,-10000000.0,0.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income Com,-5283000.0,-23474000.0,-23000000.0,-8534000.0,-9000000.0,-9336000.0,-9000000.0,-7098000.0,-7000000.0,-9660000.0,-10000000.0,0.0
EPS,-0.34,-3.84,-3.84,-0.54,-2.70,-0.78,-3.90,-0.86,-4.30,-1.34,-6.70,0.0
EPS Diluted,-0.34,-3.84,-3.84,-0.54,-2.70,-0.78,-3.90,-0.86,-4.30,-1.34,-6.70,0.0
Weighted Average Shs Out,15744.0,6107.0,6000000.0,15753.0,3000000.0,12005.0,2000000.0,8285000.0,2000000.0,7227000.0,1000000.0,0.0
Weighted Average Shs Out (Dil),15744.0,6107.0,6000000.0,15753.0,3000000.0,12005.0,2000000.0,8285000.0,2000000.0,7227000.0,1000000.0,0.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Gross Margin,0.208020315311,0.218952740302,0.21621621621622,0.274095324375,0.275,0.302030025951,0.29268292682927,0.27863396281,0.27272727272727,0.243173596313,0.24590163934426,0.0
EBITDA Margin,-0.18354318767,-0.391378701919,-0.40540540540541,-0.236423574412,-0.225,-0.160510295651,-0.17073170731707,-0.0526192026626,-0.072727272727273,-0.101937657961,-0.11475409836066,0.0
EBIT Margin,-0.207526540401,-0.425038681832,-0.64864864864865,-0.259675876994,-0.225,-0.184933666416,-0.19512195121951,-0.0771651834165,-0.10909090909091,-0.129458017411,-0.14754098360656,0.0
Profit Margin,-0.186329488943,-0.637205135861,-0.62162162162162,-0.214756656097,-0.225,-0.22643156848,-0.21951219512195,-0.128391578033,-0.12727272727273,-0.159571832103,-0.16393442622951,0.0
Free Cash Flow margin,-0.188939442034,-0.194087787399,,-0.308067844381,,-0.251897843855,,-0.0103646624702,,-0.00654145398682,,0.0
EBITDA,-5204000.0,-14418000.0,-15000000.0,-9395000.0,-9000000.0,-6618000.0,-7000000.0,-2909000.0,-4000000.0,-6171000.0,-7000000.0,0.0
EBIT,-5884000.0,-15658000.0,-24000000,-10319000.0,-9000000,-7625000.0,-8000000,-4266000.0,-6000000,-7837000.0,-9000000,0.0
Consolidated Income,-5283000.0,-23474000.0,-23000000.0,-8534000.0,-9000000.0,-9336000.0,-9000000.0,-7098000.0,-7000000.0,-9660000.0,-10000000.0,0.0
Earnings Before Tax Margin,-0.183331569852,-0.663210184858,-0.64864864864865,-0.221978962202,-0.225,-0.21767602047,-0.21951219512195,-0.116272339194,-0.10909090909091,-0.166195880205,-0.16393442622951,0.0
Net Profit Margin,-0.186329488943,-0.637205135861,-0.62162162162162,-0.214756656097,-0.225,-0.22643156848,-0.21951219512195,-0.128391578033,-0.12727272727273,-0.159571832103,-0.16393442622951,0.0
