Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,3453000.0,4000000.0,3596000.0,4000000.0,4103000.0,4000000.0,4023000.0,4000000.0,-913000.0,4000000.0,-769000.0,4798000.0
Stock-based compensation,105000.0,0000000.0,92000.0,0000000.0,104000.0,0000000.0,82000.0,0000000.0,36000.0,0000000.0,36000.0,42000.0
Operating Cash Flow,28042000.0,,20740000.0,,25930000.0,,29011000.0,,24023000.0,,28410000.0,28062000.0
Capital Expenditure,2395000.0,,2245000.0,,1721000.0,,2138000.0,,3525000.0,,1675000.0,2679000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,106015000.0,-137000000,123712000.0,-252000000,133886000.0,-110000000,88905000.0,-109000000,123231000.0,-190000000,219141000.0,191345000.0
Investing Cash flow,-11053000.0,-11000000.0,87151000.0,87000000.0,15875000.0,16000000.0,57254000.0,57000000.0,-53286000.0,-53000000.0,63174000.0,-53006000.0
Issuance (repayment) of debt,-0.0,,93186000.0,,155000.0,,8165000.0,,2171000.0,,61397000.0,12545000.0
Issuance (buybacks) of shares,-120408000.0,,-113534000.0,,-120493000.0,,-100914000.0,,-68253000.0,,-95855000.0,-94309000.0
Dividend payments,-3005000.0,,-1575000.0,,-508000.0,,-1990000.0,,-1500000.0,,-1500000.0,-1500000.0
Financing Cash Flow,-10115000.0,-10000000.0,-114850000.0,-115000000.0,-22226000.0,-22000000.0,-53604000.0,-54000000.0,1661000.0,2000000.0,-90038000.0,-62803000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,6874000.0,7000000.0,-6959000.0,-7000000.0,19579000.0,20000000.0,32661000.0,33000000.0,-27602000.0,-28000000.0,1546000.0,-87747000.0
Free Cash Flow,25647000.0,,18495000.0,,24209000.0,,26873000.0,,20498000.0,,26735000.0,25383000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
