Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-06-30
Cash and cash equivalents,68379000.0,84043000.0,158779000.0,194263000.0,284338000.0
Short-term investments,136755000.0,124218000.0,0.0,54620000.0,0.0
Cash and short-term investments,205134000.0,208261000.0,158779000.0,248883000.0,284338000.0
Receivables,192000.0,206000.0,1480000.0,744000.0,4000.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,231095000.0,230183000.0,198751000.0,263047000.0,295082000.0
Property Plant & Equipment Net,36118000.0,40679000.0,27899000.0,13225000.0,5393000.0
Goodwill and Intangible Assets,1473000.0,1337000.0,1268000.0,0.0,178000.0
Long-term investments,136755000.0,124218000.0,0.0,0.0,0.0
Tax assets,1415000.0,2162000.0,2206000.0,0.0,
Total non-current assets,45641000.0,50964000.0,35764000.0,5571000.0,
Total assets,276736000.0,281147000.0,234515000.0,285821000.0,300653000.0
Payables,4083000.0,8378000.0,11350000.0,7884000.0,1982000.0
Short-term debt,316000.0,0.0,39000.0,0.0,0.0
Total current liabilities,24437000.0,74314000.0,40270000.0,27889000.0,26765000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0
Total debt,316000.0,0.0,39000.0,0.0,
Deferred revenue,0.0,38735000.0,11392000.0,35791000.0,
Tax Liabilities,0.0,0.0,0.0,0.0,
Deposit Liabilities,0.0,0.0,0.0,0.0,
Total non-current liabilities,6829000.0,6011000.0,27168000.0,14885000.0,
Total liabilities,29851000.0,78163000.0,68373000.0,50828000.0,41650000.0
Other comprehensive income,574208000,455401000,341200000,-3561000.0,
Retained earnings (deficit),-318499000.0,-231630000.0,-161492000.0,-89913000.0,-66913000.0
Total shareholders equity,246885000.0,202984000.0,166142000.0,234993000.0,259003000.0
Investments,273510000.0,248436000.0,0.0,-28594000.0,0.0
Net Debt,-68063000.0,-84043000.0,-158740000.0,-194263000.0,-284338000.0
Other Assets,0.0,0.0,0.0,13420000.0,10740000.0
Other Liabilities,0.0,0.0,935000.0,20005000.0,24783000.0
