Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,98000.0,123000.0,62000.0,53000.0
Stock-based compensation,2901000.0,2919000.0,577000.0,399000.0
Operating Cash Flow,-22701000.0,-21512000.0,-7119000.0,-7056000.0
Capital Expenditure,-13000.0,-9000.0,-13000.0,-1000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0
Investment purchases and sales,4666000.0,-49380000.0,0.0,0.0
Investing Cash flow,5281000.0,-49469000.0,-41000.0,-92000.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,0.0,0.0,44750000.0,0.0
Dividend payments,0.0,0.0,0.0,0.0
Financing Cash Flow,0.0,63246000.0,41204000.0,0.0
Effect of forex changes on cash,1171000.0,-1423000.0,684000.0,4000.0
Net cash flow / Change in cash,-12830000.0,-6919000.0,35577000.0,-6448000.0
Free Cash Flow,-22714000.0,-21521000.0,-7132000.0,-7057000.0
Net Cash/Marketcap,,,,
