Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,14745730.8249,13427750.9069,10050971.9222,8717300.8781,6641427.1876,5242004.6159,3929441.95,5660057.1066
Stock-based compensation,29280028.9436,26872128.1741,28134341.2527,16629949.1604,9148530.8363,4221562.8091,4673187.941,2132931.4721
Operating Cash Flow,450280463.097,372384975.8162,226655723.5421,225210445.2319,165279786.8905,97905209.3637,44822803.0789,23179727.1574
Capital Expenditure,-16372069.4645,-12939993.9541,-12713894.8884,-13644430.7503,-6721666.1285,-7200296.7359,-4447402.1809,-4773635.7868
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,-461360926.1939,-726589480.0484,-61426637.869,-49158989.3699,-277328866.6451,0.0,0.0,3013959.3909
Investing Cash flow,-477748046.3097,-742718712.2128,-74140532.7574,-62803420.1202,-284067969.0023,-7573854.2697,-4447402.1809,-2013483.5025
Issuance (repayment) of debt,0.0,0.0,0.0,0.0,-380690.9913,388724.0356,0.0,0.0
Issuance (buybacks) of shares,7497973.9508,9230652.9625,3660187.185,4652595.902,67283177.2683,104329871.4144,0.0,0.0
Dividend payments,-86219826.3386,0.0,0.0,0.0,0.0,-36420211.0122,-7201731.8794,-14922112.9442
Financing Cash Flow,-78721852.3878,9230652.9625,4020158.3873,4652595.902,104519857.927,27909330.6957,-7201731.8794,-14922112.9442
Effect of forex changes on cash,5665846.5991,-390568.3192,338948.8841,2133261.4389,675008.0723,130069.2384,0.0,0.0
Net cash flow / Change in cash,-100523589.0014,-361493651.7533,156874298.0562,169192882.4526,-13593316.1124,118370755.028,33173669.0186,6244130.7107
Free Cash Flow,433908393.6324,359444981.8622,213941828.6537,211566014.4816,158558120.762,90704912.6278,40375400.898,18406091.3706
Net Cash/Marketcap,0.1585,0.0985,0.0985,0.0985,0.0985,0.0985,0.0985,0.0985
