Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,5231111.1111,3177533.3857,2014136.9048
Stock-based compensation,977777.7778,1054988.2168,793898.8095
Operating Cash Flow,-21631851.8519,-16777690.4949,-9476934.5238
Capital Expenditure,-8187407.4074,-4258444.619,-5458333.3333
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,-8187407.4074,-4258444.619,-5458333.3333
Issuance (repayment) of debt,14684444.4444,18986645.7188,3776785.7143
Issuance (buybacks) of shares,230370.3704,19281225.4517,183779.7619
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,14914814.8148,38267871.1705,5188244.0476
Effect of forex changes on cash,0.0,0.0,0.0
Net cash flow / Change in cash,-14904444.4444,17231736.0566,-9747023.8095
Free Cash Flow,-29819259.2593,-21036135.1139,-14935267.8571
Net Cash/Marketcap,,,
