Date,2018-12-31,2017-12-31
Depreciation & Amortization,10000.0,8000.0
Stock-based compensation,633000.0,190000.0
Operating Cash Flow,-21046000.0,-8052000.0
Capital Expenditure,-5000.0,-36000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,16003000.0,-15987000.0
Investing Cash flow,15998000.0,-16023000.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,461000.0,20000.0
Dividend payments,0.0,0.0
Financing Cash Flow,80115000.0,30722000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,75067000.0,6647000.0
Free Cash Flow,-21051000.0,-8088000.0
Net Cash/Marketcap,0.1953,0.1953
