Date,2017-03,2016-03,2015-03,2014-03,2013-03-31,2013-03,2012-03-31
Revenue,,,,,0.0,,0.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,,,,,0.0,,0.0
Gross Profit,,,,,0.0,,0.0
R&D Expenses,,,,,0.0,,0.0
SG&A Expense,,,,,7405000.0,,7055000.0
Operating Expenses,,,,,7405000.0,,7055000.0
Operating Income,,,,,10037000.0,,12052000.0
Interest Expense,,,,,11837000.0,,16149000.0
Earnings before Tax,,,,,10037000.0,,12052000.0
Income Tax Expense,,,,,3427000.0,,4175000.0
Net Income - Non-Controlling int,,,,,0.0,,0.0
Net Income - Discontinued ops,,,,,0.0,,0.0
Net Income,5000000.0,5000000.0,9000000.0,6000000.0,6610000.0,7000000.0,7877000.0
Preferred Dividends,,,,,0.0,,0.0
Net Income Com,5000000.0,5000000.0,9000000.0,6000000.0,6610000.0,7000000.0,7877000.0
EPS,0.21,0.22,0.33,0.25,0.26,0.26,0.31
EPS Diluted,0.21,0.22,0.33,0.25,0.26,0.26,0.31
Weighted Average Shs Out,22000000.0,24000000.0,26000000.0,25000000.0,25685685.0,26000000.0,25607442.0
Weighted Average Shs Out (Dil),22000000.0,25000000.0,26000000.0,26000000.0,25769538.0,26000000.0,25625256.0
Dividend per Share,,,,,0.238770287616,,0.0823016168112
Gross Margin,,,,,0.0,,0.0
EBITDA Margin,,,,,0.0,,0.0
EBIT Margin,,,,,0.0,,0.0
Profit Margin,,,,,0.0,,0.0
Free Cash Flow margin,,,,,0.0,,0.0
EBITDA,,,,,10763000.0,,13210000.0
EBIT,5000000,5000000,9000000,6000000,10037000.0,7000000,12052000.0
Consolidated Income,5000000.0,5000000.0,9000000.0,6000000.0,6610000.0,7000000.0,7877000.0
Earnings Before Tax Margin,,,,,0.0,,0.0
Net Profit Margin,,,,,0.0,,0.0
