Date,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2006-12,2005-12,2004-12,2003-12,2002-12
Depreciation & Amortization,2182000.0,2743000.0,2827000.0,3528000.0,3000000.0,2000000.0,2000000.0,4000000.0,5000000.0
Stock-based compensation,3662000.0,3435000.0,2714000.0,1629000.0,,,,,
Operating Cash Flow,-37190000.0,-29094000.0,-20715000.0,-11351000.0,1000000.0,-5000000.0,12000000.0,11000000.0,3000000.0
Capital Expenditure,2280000.0,1449000.0,973000.0,3221000.0,-3000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,,,,,
Investment purchases and sales,0.0,0.0,0.0,-5225000.0,1000000,2000000,0,0,1000000
Investing Cash flow,-2517000.0,-2993000.0,-1738000.0,-3693000.0,-2000000.0,-7000000.0,-1000000.0,-2000000.0,0000000.0
Issuance (repayment) of debt,-77000.0,-72000.0,-67000.0,-484000.0,-0000000.0,-1000000.0,-2000000.0,-2000000.0,-3000000.0
Issuance (buybacks) of shares,-1330000.0,-39833000.0,-23575000.0,43234000.0,,,,,
Dividend payments,-0.0,-0.0,-0.0,-0.0,,,,,
Financing Cash Flow,57340000.0,-298000.0,58276000.0,37858000.0,1000000.0,-0000000.0,1000000.0,0000000.0,-2000000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,-0000000.0,-0000000.0,0000000.0,0000000.0,0000000.0
Net cash flow / Change in cash,17633000.0,39833000.0,72218000.0,36395000.0,0000000.0,-12000000.0,12000000.0,10000000.0,1000000.0
Free Cash Flow,-39470000.0,-30543000.0,-21688000.0,-14572000.0,-1000000.0,-6000000.0,12000000.0,10000000.0,2000000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,,,,,
