Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,11309985.5282,12547460.7013,4660907.1274,1830226.4674,1643364.5463
Stock-based compensation,3922865.4124,25652509.0689,23587185.0252,4773224.4646,1122699.3865
Operating Cash Flow,-9498118.6686,101038694.075,148428509.7192,66370975.1964,69665482.7252
Capital Expenditure,-1392908.8278,-4757859.734,-3458459.3233,-985364.3506,-2110268.0013
Acquisitions and disposals,-1698408.1042,19897521.1608,-17116198.7041,0.0,0.0
Investment purchases and sales,-39251808.9725,-165699818.6215,-17793376.5299,45219534.7404,-50791088.1498
Investing Cash flow,-42343125.9045,-150560157.1947,-38368034.5572,27709751.9643,-52901356.1511
Issuance (repayment) of debt,0.0,0.0,-17117350.612,18314589.4315,-7345495.6409
Issuance (buybacks) of shares,-10093342.9812,1879685.6106,95056299.496,39187028.1929,2583144.979
Dividend payments,-25686975.398,-58209340.9915,-18268682.5054,-108611924.2027,-16144656.1188
Financing Cash Flow,-21952532.5615,-56329655.3809,59670266.3787,-51109382.2215,-20907006.7808
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-73793777.1346,-105851118.5006,169730741.5407,42971344.9391,-4142880.2067
Free Cash Flow,-10891027.4964,96280834.341,144970050.396,65385610.8458,67555214.7239
Net Cash/Marketcap,0.3129,0.0615,0.0615,0.0615,0.0615
