Date,2018-03,2017-12-31,2017-03,2016-12-31,2016-03,2015-12-31,2015-03,2014-12-31,2014-03,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Revenue,3011000000.0,1742500000.0,2918000000.0,1703700000.0,2716000000.0,1637100000.0,2665000000.0,1681800000.0,2140000000.0,1655200000.0,1663000000.0,1758500000.0,1676600000.0
Revenue Growth,0.727977044476327,-0.40284441398218,0.712742853788813,-0.372717231222386,0.659031213731599,-0.385703564727955,0.584611725532168,-0.21411214953271,0.292895118414693,-0.00469031870114251,-0.0543076485641171,0.0488488607896934,0.0
Cost of Revenue,2325000000.0,686500000.0,2174000000.0,633300000.0,2087000000.0,635700000.0,2060000000.0,635600000.0,1597000000.0,635600000.0,628700000.0,690300000.0,640600000.0
Gross Profit,686000000.0,1056000000.0,744000000.0,1070400000.0,629000000.0,1001400000.0,606000000.0,1046200000.0,544000000.0,1019600000.0,1034300000.0,1068200000.0,1036000000.0
R&D Expenses,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
SG&A Expense,623000000.0,673100000.0,607000000.0,711200000.0,555000000.0,664400000.0,543000000.0,624700000.0,447000000.0,582500000.0,602200000.0,643400000.0,626900000.0
Operating Expenses,610000000.0,673100000.0,575000000.0,711200000.0,496000000.0,664400000.0,412000000.0,624700000.0,324000000.0,582500000.0,602200000.0,643400000.0,626900000.0
Operating Income,76000000.0,382900000.0,168000000.0,359200000.0,133000000.0,337000000.0,194000000.0,421500000.0,220000000.0,437100000.0,432100000.0,424800000.0,409100000.0
Interest Expense,94000000.0,59700000.0,79000000.0,53100000.0,70000000.0,51000000.0,58000000.0,43300000.0,62000000.0,40700000.0,39500000.0,37000000.0,46000000.0
Earnings before Tax,16000000.0,322700000.0,117000000.0,203600000.0,93000000.0,280000000.0,152000000.0,348600000.0,173000000.0,375300000.0,378300000.0,368100000.0,387900000.0
Income Tax Expense,-73000000.0,179700000.0,45000000.0,99900000.0,39000000.0,74200000.0,-72000000.0,52600000.0,-5000000.0,135500000.0,83100000.0,109200000.0,137900000.0
Net Income - Non-Controlling int,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income,8000000.0,140900000.0,73000000.0,97400000.0,57000000.0,168800000.0,209000000.0,294400000.0,13000000.0,258500000.0,295500000.0,260300000.0,252100000.0
Preferred Dividends,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,8000000.0,140900000.0,73000000.0,97400000.0,57000000.0,168800000.0,209000000.0,294400000.0,13000000.0,258500000.0,295500000.0,260300000.0,252100000.0
EPS,0.02,3.82,0.15,2.67,0.10,4.68,0.38,8.06,0.02,6.61,6.47,5.31,5.03
EPS Diluted,0.02,3.79,0.15,2.65,0.10,4.64,0.38,7.99,0.02,6.54,6.43,5.28,4.98
Weighted Average Shs Out,429000000.0,36900000.0,495000000.0,36500000.0,561000000.0,36100000.0,547000000.0,36500000.0,540000000.0,39100000.0,45600000.0,48900000.0,49900000.0
Weighted Average Shs Out (Dil),432000000.0,37200000.0,495000000.0,36800000.0,562000000.0,36400000.0,553000000.0,36900000.0,540000000.0,39500000.0,46000000.0,49300000.0,50400000.0
Dividend per Share,,1.99462365591,,1.91576086957,,1.83241758242,,1.73441734417,,1.58227848101,1.5,1.42799188641,1.38888888889
Gross Margin,0.22783128528728,0.606025824964,0.25496915695682,0.628279626695,0.23159057437408,0.611691405534,0.22739212007505,0.622071589963,0.25420560747664,0.615998066699,0.62194828623,0.60744953085,0.617917213408
EBITDA Margin,0.053802723347725,0.287230989957,0.081905414667581,0.27211363503,0.074742268041237,0.266019180258,0.094183864915572,0.307706029254,0.1303738317757,0.327271628806,0.321046301864,0.295990901336,0.291900274365
EBIT Margin,0.0096313517103952,0.219741750359,0.067511994516792,0.210835240946,0.061119293078056,0.205851811129,0.073170731707317,0.250624331074,0.032710280373832,0.264076848719,0.259831629585,0.241569519477,0.244005725874
Profit Margin,0.0026569246097642,0.0808608321377,0.025017135023989,0.0571696894993,0.020986745213549,0.103109156435,0.078424015009381,0.175050541087,0.0060747663551402,0.156174480425,0.177690920024,0.148023883992,0.150363831564
Free Cash Flow margin,,0.159598278336,,0.180959089041,,0.20182029198,,0.180342490189,,0.195625906235,0.210944076969,0.17441000853,0.184838363354
EBITDA,162000000.0,500500000.0,239000000.0,463600000.0,203000000.0,435500000.0,251000000.0,517500000.0,279000000.0,541700000.0,533900000.0,520500000.0,489400000.0
EBIT,29000000,382900000.0,197000000,359200000.0,166000000,337000000.0,195000000,421500000.0,70000000,437100000.0,432100000.0,424800000.0,409100000.0
Consolidated Income,8000000.0,140900000.0,73000000.0,97400000.0,57000000.0,168800000.0,209000000.0,294400000.0,13000000.0,258500000.0,295500000.0,260300000.0,252100000.0
Earnings Before Tax Margin,0.0053138492195284,0.185193687231,0.040095956134339,0.119504607619,0.034241531664212,0.171034145746,0.05703564727955,0.207277916518,0.080841121495327,0.226739971,0.227480457005,0.209326130225,0.231361087916
Net Profit Margin,0.0026569246097642,0.0808608321377,0.025017135023989,0.0571696894993,0.020986745213549,0.103109156435,0.078424015009381,0.175050541087,0.0060747663551402,0.156174480425,0.177690920024,0.148023883992,0.150363831564
