Date,2018-12-29,2017-12-31,2017-12-30,2016-12-31,2015-12-26,2015-02-18,2014-12-27,2014-02-19,2013-12-28,2012-12-29,2012-02-29,2011-12-31,2011-02-23,2010-12-25,2009-12-26
Revenue,7911046000.0,3206937000.0,7256382000.0,6779579000.0,6226507000.0,0.0,6226507000.0,0.0,5711715000.0,4664120000.0,0.0,4664120000.0,0.0,4232743000.0,3638336000.0
Revenue Growth,1.46685419763469,-0.558052897435664,0.0703292933086258,0.088825404034718,0.0,-1,0.0,-1,0.224607214222619,0.0,-1,0.0,-1,0.163373311315942,0.1345
Cost of Revenue,5208518000.0,2165048000.0,4764417000.0,4454377000.0,4083333000.0,0.0,4083333000.0,0.0,3761300000.0,3098066000.0,0.0,3098066000.0,0.0,2825871000.0,2434671000.0
Gross Profit,2702528000.0,1041889000.0,2491965000.0,2325202000.0,2143174000.0,0.0,2143174000.0,0.0,1950415000.0,1566054000.0,0.0,1566054000.0,0.0,1406872000.0,1203665000.0
R&D Expenses,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,1823440000.0,784066000.0,1639749000.0,1488164000.0,1369097000.0,0.0,1369097000.0,0.0,1246308000.0,1040287000.0,0.0,1040287000.0,0.0,973822000.0,867644000.0
Operating Expenses,1823440000.0,,1639749000.0,1488164000.0,1369097000.0,0.0,1360943000.0,0.0,1238959000.0,1040287000.0,0.0,1054169000.0,0.0,937441000.0,850324000.0
Operating Income,701737000.0,191565000.0,686382000.0,694080000.0,650508000.0,0.0,650508000.0,0.0,589472000.0,436792000.0,0.0,436792000.0,0.0,352703000.0,266224000.0
Interest Expense,18352000.0,,13859000.0,5810000.0,2891000.0,0.0,1885000.0,0.0,557000.0,1055000.0,0.0,2087000.0,0.0,1284000.0,1644000.0
Earnings before Tax,683385000.0,189921000.0,672523000.0,688270000.0,647617000.0,0.0,647617000.0,0.0,587587000.0,435737000.0,0.0,435737000.0,0.0,350616000.0,264940000.0
Income Tax Expense,151028000.0,70176000.0,249924000.0,251150000.0,237222000.0,0.0,237222000.0,0.0,216702000.0,159280000.0,0.0,159280000.0,0.0,127876000.0,96968000.0
Net Income - Non-Controlling int,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,532357000.0,,422599000.0,437120000.0,410395000.0,0.0,370885000.0,0.0,328234000.0,276457000.0,0.0,222740000.0,0.0,167972000.0,119745000.0
Preferred Dividends,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,532357000.0,119745000.0,422599000.0,437120000.0,410395000.0,0.0,410395000.0,0.0,370885000.0,276457000.0,0.0,276457000.0,0.0,222740000.0,167972000.0
EPS,4.34,0.83,3.31,3.29,3.03,0.0,3.03,0.0,2.69,3.89,0.0,1.94,0.0,1.55,1.155
EPS Diluted,4.31,0.815,3.3,3.27,3.0,0.0,3.0,0.0,2.66,3.8,0.0,1.9,0.0,1.51,1.125
Weighted Average Shs Out,122651000.0,144595536.0,127588000.0,132905000.0,135582000.0,0.0,134333917.0,0.0,135938869.0,71092000.0,0.0,140873566.0,0.0,142049734.0,145823868.0
Weighted Average Shs Out (Dil),123471000.0,,128204000.0,133813000.0,136845000.0,0.0,137769000.0,0.0,139415000.0,72757000.0,0.0,143554000.0,0.0,145194000.0,143962000.0
Dividend per Share,1.1912675851,,1.04386758603,0.913752774394,0.753414447002,0.0,0.61,0.0,0.49,0.705334194648,0.0,0.215,0.0,0.14,0.0
Gross Margin,0.341614496996,0.3249,0.343417008641,0.342971444097,0.344201652708,0.0,0.3442,0.0,0.3415,0.33576623243,0.0,0.3358,0.0,0.3324,0.3308
EBITDA Margin,0.111121588725,,0.117443651671,0.123464598613,0.124319622543,0.0,0.123,0.0,0.119,0.112725873262,0.0,0.102,0.0,0.092,0.08
EBIT Margin,0.0887034407334,,0.0945901139163,0.102378038518,0.104473985173,0.0,0.1032,0.0,0.0996,0.0936493915251,0.0,0.0833,0.0,0.0732,0.0597
Profit Margin,0.0672928712587,,0.0582382515143,0.0644759799982,0.0659109513568,0.0,0.065,0.0,0.064,0.0592731319091,0.0,0.053,0.0,0.046,0.037
Free Cash Flow margin,0.0525675113,,0.0525122574859,0.0609216294994,0.0309457614036,0.0,0.0436,0.0,0.0225,0.048321655532,0.0,0.021,0.0,0.0347,0.0441
EBITDA,879088000.0,,852216000.0,837038000.0,774077000.0,0.0,704107000.0,0.0,614675000.0,525767000.0,0.0,433050000.0,0.0,336021000.0,257823000.0
EBIT,701737000.0,,686382000.0,694080000.0,650508000.0,0.0,589472000.0,0.0,514650000.0,436792000.0,0.0,352703000.0,0.0,266224000.0,191565000.0
Consolidated Income,532357000.0,,422599000.0,437120000.0,410395000.0,0.0,370885000.0,0.0,328234000.0,276457000.0,0.0,222740000.0,0.0,167972000.0,119745000.0
Earnings Before Tax Margin,0.0863836463598,0.0592,0.0926802089526,0.101521053151,0.104009679906,0.0,0.104,0.0,0.1029,0.0934231966587,0.0,0.0934,0.0,0.0828,0.0728
Net Profit Margin,0.0672928712587,,0.0582382515143,0.0644759799982,0.0659109513568,0.0,0.0649,0.0,0.0636,0.0592731319091,0.0,0.0526,0.0,0.0462,0.0373
