Date,2018-12-30,2018-12,2017-12-31,2017-12,2017-01-01,2016-12,2016-01-03,2015-12,2014-12-28,2014-12,2013-12-29,2012-12-30,2012-01-01
Revenue,5513900000.0,5514000000.0,5374400000.0,5374000000.0,5276800000.0,5277000000.0,5518200000.0,5518000000.0,5562700000.0,5563000000.0,5413100000.0,5450500000.0,0.0
Revenue Growth,-0.0000181356546971346,0.0259749925573087,0.0000744324525493115,0.0184202546998181,-0.0000379003221527383,-0.0437099054039361,0.0000362450163102573,-0.00803566613335251,-0.0000539277368326443,0.0276920803236593,-0.00686175580221998,0.0,0.0
Cost of Revenue,4541700000.0,4542000000.0,4420300000.0,4420000000.0,4370500000.0,4370000000.0,4597900000.0,4598000000.0,4654300000.0,4654000000.0,4523600000.0,4553900000.0,0.0
Gross Profit,972200000.0,972000000.0,954100000.0,954000000.0,906300000.0,906000000.0,920300000.0,920000000.0,908400000.0,908000000.0,889500000.0,896600000.0,0.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,884800000.0,885000000.0,870800000.0,871000000.0,843100000.0,843000000.0,853600000.0,854000000.0,886500000.0,886000000.0,834500000.0,821200000.0,0.0
Operating Expenses,884800000.0,885000000.0,870800000.0,871000000.0,843100000.0,843000000.0,853600000.0,854000000.0,886500000.0,886000000.0,834500000.0,821200000.0,0.0
Operating Income,87400000.0,87000000.0,83300000.0,83000000.0,63200000.0,63000000.0,66700000.0,67000000.0,21900000.0,22000000.0,53300000.0,72300000.0,0.0
Interest Expense,3100000.0,3000000.0,2700000.0,3000000.0,3800000.0,4000000.0,3800000.0,4000000.0,3000000.0,3000000.0,2800000.0,3400000.0,0.0
Earnings before Tax,-9400000.0,-9000000.0,81700000.0,82000000.0,149700000.0,150000000.0,62500000.0,62000000.0,16600000.0,17000000.0,48800000.0,68800000.0,0.0
Income Tax Expense,-27100000.0,-27000000.0,12800000.0,13000000.0,30000000.0,30000000.0,8700000.0,9000000.0,-7100000.0,-7000000.0,-10100000.0,19100000.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,22900000.0,23000000.0,71600000.0,72000000.0,120800000.0,121000000.0,53800000.0,54000000.0,23700000.0,24000000.0,58900000.0,50100000.0,0.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,22900000.0,23000000.0,71600000.0,72000000.0,120800000.0,121000000.0,53800000.0,54000000.0,23700000.0,24000000.0,58900000.0,50100000.0,0.0
EPS,0.59,0.59,1.84,1.84,3.1,3.10,1.39,1.39,0.61,0.61,1.54,1.32,0.0
EPS Diluted,0.58,0.58,1.81,1.81,3.08,3.08,1.39,1.39,0.61,0.61,1.54,1.32,0.0
Weighted Average Shs Out,38800000.0,39000000.0,38300000.0,38000000.0,38100000.0,38000000.0,37800000.0,38000000.0,37500000.0,38000000.0,37300000.0,37000000.0,0.0
Weighted Average Shs Out (Dil),39100000.0,39000000.0,39000000.0,39000000.0,38400000.0,38000000.0,37900000.0,38000000.0,37500000.0,38000000.0,37300000.0,37000000.0,0.0
Dividend per Share,0.30179028133,,0.297435897436,,0.278645833333,,0.203166226913,,0.202666666667,,0.203753351206,0.205405405405,0.0
Gross Margin,0.176318032608,0.17627856365615,0.177526793689,0.17752139933011,0.171751819284,0.1716884593519,0.166775397775,0.16672707502718,0.163301993636,0.16322128348014,0.164323585376,0.164498669847,0.0
EBITDA Margin,0.0206024773754,0.0036271309394269,0.0197231318845,0.019910681056941,0.0160134930261,0.033162781883646,0.0161284476822,0.016129032258065,0.00783792043432,0.0073701240337947,0.0136151188783,0.00917347032382,0.0
EBIT Margin,0.0158508496708,-0.00018135654697135,0.0154994045847,0.016375139560849,0.0119769557307,0.029372749668372,0.012087274836,0.012142080463936,0.00393693709889,0.0035951824555096,0.00984648353069,0.0132648380882,0.0
Profit Margin,0.00415314024556,0.004171200580341,0.0133224173861,0.013397841458876,0.0228926622195,0.022929694902407,0.00974955601464,0.0097861544037695,0.00426052097003,0.0043142189466115,0.010881010881,0.00919181726447,0.0
Free Cash Flow margin,0.00649268213062,,0.0086707353379,,0.00468086719224,,0.00119604218767,,-0.0164848005465,,0.0176054386581,0.00726538849647,0.0
EBITDA,113600000.0,20000000.0,106000000.0,107000000.0,84500000.0,175000000.0,89000000.0,89000000.0,43600000.0,41000000.0,73700000.0,50000000.0,0.0
EBIT,87400000.0,-1000000,83300000.0,88000000,63200000.0,155000000,66700000.0,67000000,21900000.0,20000000,53300000.0,72300000.0,0.0
Consolidated Income,22900000.0,23000000.0,71600000.0,72000000.0,120800000.0,121000000.0,53800000.0,54000000.0,23700000.0,24000000.0,58900000.0,50100000.0,0.0
Earnings Before Tax Margin,-0.00170478245888,-0.0016322089227421,0.0152016969336,0.015258652772609,0.0283694663432,0.028425241614554,0.0113261570802,0.01123595505618,0.0029841623672,0.0030559050871832,0.0090151669099,0.0126226951656,0.0
Net Profit Margin,0.00415314024556,0.004171200580341,0.0133224173861,0.013397841458876,0.0228926622195,0.022929694902407,0.00974955601464,0.0097861544037695,0.00426052097003,0.0043142189466115,0.010881010881,0.00919181726447,0.0
