Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,54271000.0,39035000.0,16998000.0
Short-term investments,0.0,0.0,
Cash and short-term investments,54271000.0,39035000.0,16998000.0
Receivables,12626000.0,3581000.0,879000.0
Inventories,30257000.0,8144000.0,6185000.0
Total current assets,102826000.0,51969000.0,24499000.0
Property Plant & Equipment Net,30527000.0,14118000.0,10277000.0
Goodwill and Intangible Assets,0.0,0.0,
Long-term investments,0.0,0.0,
Tax assets,0.0,0.0,
Total non-current assets,30923000.0,14494000.0,
Total assets,133749000.0,66463000.0,34935000.0
Payables,18502000.0,6823000.0,2540000.0
Short-term debt,44000.0,3120000.0,
Total current liabilities,25167000.0,12150000.0,5134000.0
Long-term debt,30792000.0,2032000.0,1619000.0
Total debt,30836000.0,5152000.0,
Deferred revenue,0.0,0.0,
Tax Liabilities,0.0,0.0,
Deposit Liabilities,0.0,0.0,
Total non-current liabilities,230332000.0,150226000.0,
Total liabilities,255499000.0,162376000.0,6753000.0
Other comprehensive income,0.0,0.0,
Retained earnings (deficit),-129672000.0,-99786000.0,-69402000.0
Total shareholders equity,-121750000.0,-95913000.0,-65622000.0
Investments,0.0,0.0,
Net Debt,-23435000.0,-33883000.0,
Other Assets,5672000.0,1209000.0,
Other Liabilities,6621000.0,2207000.0,
