Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,130000000.0,121400000.0,127200000.0
Stock-based compensation,13300000.0,12300000.0,10500000.0
Operating Cash Flow,400100000.0,359100000.0,417000000.0
Capital Expenditure,-72200000.0,-48800000.0,-48200000.0
Acquisitions and disposals,0.0,0.0,-5000000.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,-75500000.0,-54900000.0,-59400000.0
Issuance (repayment) of debt,0.0,0.0,0.0
Issuance (buybacks) of shares,0.0,0.0,0.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,-324600000.0,-304200000.0,-357600000.0
Effect of forex changes on cash,0.0,0.0,0.0
Net cash flow / Change in cash,0.0,0.0,0.0
Free Cash Flow,327900000.0,310300000.0,368800000.0
Net Cash/Marketcap,0.0,0.0,0.0
