Date,2019-12-31,2018-12-31,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,0.0,0.0,,,,,
Stock-based compensation,0.0,0.0,,,,,
Operating Cash Flow,-1649266.0,-1066608.0,-0000000.0,-0000000.0,000000.0,000000.0,000000.0
Capital Expenditure,0.0,0.0,,,,,
Acquisitions and disposals,-0.0,-0.0,,,,,
Investment purchases and sales,0.0,0.0,0,0,0,0,0
Investing Cash flow,902848.0,-173774750.0,,,,,
Issuance (repayment) of debt,-0.0,-69540.0,,,,,
Issuance (buybacks) of shares,174146303.0,173899885.0,,,,,
Dividend payments,-0.0,-0.0,,,,,
Financing Cash Flow,500000.0,175161126.0,0000000.0,0000000.0,000000.0,000000.0,000000.0
Effect of forex changes on cash,0.0,0.0,,,,,
Net cash flow / Change in cash,-246418.0,319768.0,-0000000.0,0000000.0,000000.0,000000.0,000000.0
Free Cash Flow,-1649266.0,-1066608.0,-0000000.0,-0000000.0,000000.0,000000.0,000000.0
Net Cash/Marketcap,0.0,0.0,,,,,
