Date,2019-06-30,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06-30,2013-06,2012-06-30
Revenue,143799000.0,104093000.0,104000000.0,58077000.0,77000000.0,42344964.0,58000000.0,35940244.0,42000000.0,29017243.0,36000000.0,22868789.0
Revenue Growth,0.38144735957269,0.000894230769230769,0.790726104998536,-0.245753246753247,0.818398050828429,-0.269914413793103,0.613789822907157,-0.144279904761905,0.447415248926302,-0.193965472222222,0.574197916645258,0.0
Cost of Revenue,105680000.0,77447000.0,77000000.0,41254000.0,55000000.0,27272128.0,41000000.0,3623686.0,27000000.0,3743226.0,22000000.0,3468993.0
Gross Profit,38119000.0,26646000.0,27000000.0,16823000.0,22000000.0,15072836.0,17000000.0,14096613.0,15000000.0,9961051.0,14000000.0,7748658.0
R&D Expenses,4600000.0,1400000.0,,1500000.0,,1018000.0,,901000.0,,1038000.0,,997000.0
SG&A Expense,47068000.0,25493000.0,25000000.0,16451000.0,22000000.0,14036016.0,16000000.0,12068566.0,14000000.0,15460668.0,12000000.0,11430610.0
Operating Expenses,68275000.0,26893000.0,27000000.0,17951000.0,23000000.0,15054016.0,17000000.0,13382688.0,15000000.0,16961443.0,13000000.0,13436875.0
Operating Income,-30156000.0,135000.0,0000000.0,-240000.0,-1000000.0,436332.0,-0000000.0,713925.0,0000000.0,-7000392.0,1000000.0,-5688217.0
Interest Expense,2992000.0,892000.0,1000000.0,302000.0,1000000.0,256844.0,0000000.0,157205.0,0000000.0,83993.0,0000000.0,35953.0
Earnings before Tax,-31766000.0,-1765000.0,-2000000.0,-800000.0,-7000000.0,275254.0,-1000000.0,881769.0,0000000.0,0.0,1000000.0,0.0
Income Tax Expense,262000.0,87000.0,0000000.0,289000.0,-1000000.0,-27255398.0,0000000.0,27646.0,-27000000.0,12599.0,0000000.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,-32028000.0,-1852000.0,-2000000.0,-1089000.0,-7000000.0,27530652.0,-1000000.0,854123.0,28000000.0,-5211238.0,1000000.0,-6457067.0
Preferred Dividends,668000.0,668000.0,,668000.0,,664452.0,,664452.0,,664452.0,,665577.0
Net Income Com,-32028000.0,-1852000.0,-2000000.0,-1089000.0,-7000000.0,27530652.0,-1000000.0,854123.0,28000000.0,-5211238.0,1000000.0,-6457067.0
EPS,-0.54,-0.06,,-0.05,,0.78,,0.01,,-0.18,,-0.26
EPS Diluted,-0.54,-0.06,,-0.05,,0.78,,0.01,,-0.18,,-0.26
Weighted Average Shs Out,60061243.0,39860335.0,,35719211.0,,34613497.0,,32787673.0,,32423987.0,,27665345.0
Weighted Average Shs Out (Dil),60061243.0,39860335.0,,35719211.0,,34613497.0,,33613346.0,,32423987.0,,27665345.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Gross Margin,0.265085292665,0.255982630917,0.25961538461538,0.289667166004,0.28571428571429,0.355953449388,0.29310344827586,0.39222363098,0.35714285714286,0.343280407446,0.38888888888889,0.338831146678
EBITDA Margin,-0.151920388876,0.0560940697261,0.048076923076923,0.182705718271,-0.025974025974026,0.255163612844,0.086206896551724,0.239642724741,0.14285714285714,-0.0558033373467,0.16666666666667,-0.0846492571163
EBIT Margin,-0.209709386018,0.00129691717983,-0.0096153846153846,-0.00413244485769,-0.090909090909091,0.0103042241339,-0.017241379310345,0.0198642224021,0.023809523809524,-0.24124938403,0.027777777777778,-0.248732759745
Profit Margin,-0.222727557215,-0.0177917823485,-0.019230769230769,-0.0187509685418,-0.090909090909091,0.650151739413,-0.017241379310345,0.0237650862916,0.66666666666667,-0.17959107969,0.027777777777778,-0.282352817196
Free Cash Flow margin,-0.22981383737,-0.103868655913,,-0.0302701585826,,0.164701497916,,0.165040643575,,-0.013781736604,,-0.0524565161715
EBITDA,-21846000.0,5839000.0,5000000.0,10611000.0,-2000000.0,10804894.0,5000000.0,8612818.0,6000000.0,-1619259.0,6000000.0,-1935826.0
EBIT,-30156000.0,135000.0,-1000000,-240000.0,-7000000,436332.0,-1000000,713925.0,1000000,-7000392.0,1000000,-5688217.0
Consolidated Income,-32028000.0,-1852000.0,-2000000.0,-1089000.0,-7000000.0,27530652.0,-1000000.0,854123.0,28000000.0,-5211238.0,1000000.0,-6457067.0
Earnings Before Tax Margin,-0.22090556958,-0.016955991277,-0.019230769230769,-0.0137748161923,-0.090909090909091,0.00650027710497,-0.017241379310345,0.0245343075578,0,0.0,0.027777777777778,0.0
Net Profit Margin,-0.222727557215,-0.0177917823485,-0.019230769230769,-0.0187509685418,-0.090909090909091,0.650151739413,-0.017241379310345,0.0237650862916,0.66666666666667,-0.17959107969,0.027777777777778,-0.282352817196
