Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,0.0
Stock-based compensation,154000.0,119000.0
Operating Cash Flow,-17083000.0,-4674000.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,0.0,0.0
Issuance (repayment) of debt,0.0,4300000.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,0.0,26175000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-17083000.0,21501000.0
Free Cash Flow,-17083000.0,-4674000.0
Net Cash/Marketcap,,
