Date,2019-03-07,2018-03-07
Cash and cash equivalents,55097000.0,9961000.0
Short-term investments,0.0,0.0
Cash and short-term investments,55097000.0,9961000.0
Receivables,1720000.0,0.0
Inventories,915000.0,1041000.0
Total current assets,60425000.0,17570000.0
Property Plant & Equipment Net,1233961000.0,666940000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,1233961000.0,666940000.0
Total assets,1294386000.0,684510000.0
Payables,798000.0,886000.0
Short-term debt,23365000.0,0.0
Total current liabilities,35460000.0,4409000.0
Long-term debt,431602000.0,160000000.0
Total debt,454967000.0,160000000.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,431602000.0,160000000.0
Total liabilities,467062000.0,164409000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-367751000.0,-379530000.0
Total shareholders equity,827324000.0,520101000.0
Investments,0.0,0.0
Net Debt,,
Other Assets,,
Other Liabilities,11297000.0,3523000.0
