Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31
Revenue,3967000000.0,3890000000.0,1037000000.0,3939000000.0,1013000000.0,3996853000.0,989000000.0,3892747000.0,963000000.0,3918836000.0,975000000.0,4452084000.0,4343346000.0,4177681000.0
Revenue Growth,0.0197943444730077,2.75120540019286,-0.736735211982737,2.88845014807502,-0.746550598683514,3.04130738119312,-0.745937765798805,3.04231256490135,-0.754263766077478,3.01931897435897,-0.781001436630576,0.0250355371181573,0.0396547749816226,0.0
Cost of Revenue,1031000000.0,1071000000.0,391000000.0,1081000000.0,382000000.0,1052810000.0,362000000.0,1192669000.0,375000000.0,999000000.0,379000000.0,935947000.0,782300000.0,742981000.0
Gross Profit,2936000000.0,2819000000.0,646000000.0,2858000000.0,631000000.0,2944043000.0,627000000.0,2700078000.0,589000000.0,2919836000.0,596000000.0,3516137000.0,3561046000.0,3434700000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,1388000000.0,1412000000.0,43000000.0,1480000000.0,40000000.0,1493730000.0,40000000.0,1591914000.0,42000000.0,1677395000.0,44000000.0,1764933000.0,1779203000.0,1796624000.0
Operating Expenses,3809000000.0,4194000000.0,306000000.0,3942000000.0,294000000.0,3683911000.0,352000000.0,4036137000.0,294000000.0,3771971000.0,294000000.0,4295428000.0,4062566000.0,3982307000.0
Operating Income,158000000.0,-304000000.0,340000000.0,-3000000.0,337000000.0,312942000.0,275000000.0,-143390000.0,295000000.0,146865000.0,302000000.0,156656000.0,280780000.0,195374000.0
Interest Expense,116000000.0,113000000.0,14000000.0,113000000.0,18000000.0,86194000.0,20000000.0,57386000.0,26000000.0,43963000.0,46000000.0,42393000.0,65614000.0,61555000.0
Earnings before Tax,215000000.0,-272000000.0,,82000000.0,,403629000.0,,-58704000.0,,257656000.0,,205053000.0,312822000.0,155408000.0
Income Tax Expense,51000000.0,-287000000.0,69000000.0,33000000.0,67000000.0,156334000.0,53000000.0,-11782000.0,54000000.0,113134000.0,34000000.0,63977000.0,114078000.0,79609000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,150000000.0,12000000.0,285000000.0,48000000.0,248000000.0,241347000.0,180000000.0,-42812000.0,206000000.0,140038000.0,137000000.0,111006000.0,175041000.0,132324000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,150000000.0,12000000.0,285000000.0,48000000.0,248000000.0,241347000.0,180000000.0,-42812000.0,206000000.0,140038000.0,137000000.0,111006000.0,175041000.0,132324000.0
EPS,1.75,0.14,9.29,0.56,8.07,2.86,5.85,-0.51,6.71,1.67,4.46,1.31,2.06,1.54
EPS Diluted,1.72,0.14,9.29,0.56,8.07,2.84,5.85,-0.51,6.70,1.65,4.47,1.3,2.05,1.53
Weighted Average Shs Out,86000000.0,85000000.0,31000000.0,85000000.0,31000000.0,84248000.0,31000000.0,84213000.0,31000000.0,83968000.0,31000000.0,84645000.0,84877000.0,86128000.0
Weighted Average Shs Out (Dil),87000000.0,86000000.0,31000000.0,85000000.0,31000000.0,84891000.0,31000000.0,84213000.0,31000000.0,84730000.0,31000000.0,85067000.0,85335000.0,86518000.0
Dividend per Share,0.0689655172414,0.0,,0.0,,0.0,,0.0362889340126,,5.69184468311,,0.27002245289,0.247190484561,0.226900760535
Gross Margin,0.740105873456,0.724678663239,0.62295081967213,0.725564864179,0.62290227048371,0.736590262389,0.63397371081901,0.693617643274,0.6116303219107,0.745077364809,0.61128205128205,0.789773283703,0.81988540632,0.822154683424
EBITDA Margin,0.201159566423,-0.0781491002571,0.59209257473481,-0.000761614623001,0.56762092793682,0.0782971002436,0.48736097067745,0.119134893688,0.53478712357217,0.242854000525,0.45333333333333,0.171485308903,0.199011775714,0.185501956708
EBIT Margin,0.0398285858331,-0.0781491002571,0.35486981677917,-0.000761614623001,0.32872655478776,0.0782971002436,0.25581395348837,-0.0368351706391,0.29698857736241,0.0374766895068,0.2225641025641,0.0351871168648,0.0646460125442,0.0467661365241
Profit Margin,0.0378119485757,0.00308483290488,0.274831243973,0.012185833968,0.24481737413623,0.0603842573144,0.18200202224469,-0.0109978891513,0.21391484942887,0.0357345905774,0.14051282051282,0.0249334918209,0.040300956912,0.0316740315979
Free Cash Flow margin,0.0496596924628,0.0,,0.0,,0.0,,-0.111165970971,,-0.108951994929,,0.0163723325975,0.0497459792519,0.0696929708132
EBITDA,798000000.0,-304000000.0,614000000.0,-3000000.0,575000000.0,312942000.0,482000000.0,463762000.0,515000000.0,951705000.0,442000000.0,763467000.0,864377000.0,774968000.0
