Date,2018-12-31,2017-12-31
Depreciation & Amortization,4675000.0,3057000.0
Stock-based compensation,4604000.0,2375000.0
Operating Cash Flow,45850000.0,22820000.0
Capital Expenditure,-40970000.0,-16497000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,-1043476000.0,-810629000.0
Investing Cash flow,-1084446000.0,-852071000.0
Issuance (repayment) of debt,30554000.0,141129000.0
Issuance (buybacks) of shares,193191000.0,55991000.0
Dividend payments,0.0,0.0
Financing Cash Flow,1124317000.0,804099000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,85721000.0,-25152000.0
Free Cash Flow,4880000.0,6323000.0
Net Cash/Marketcap,,
