Date,2018-06-30,2018-06,2017-07-01,2017-06,2016-07-02,2016-06,2015-06-27,2015-06,2014-06-28,2014-06,2013-06-29,2012-06-30
Depreciation & Amortization,28986000.0,30000000.0,21646000.0,22000000.0,17567000.0,17000000.0,18918000.0,19000000.0,30676000.0,26000000.0,42701000.0,22289000.0
Stock-based compensation,14964000.0,15000000.0,11195000.0,11000000.0,8201000.0,8000000.0,6164000.0,6000000.0,6243000.0,6000000.0,7212000.0,6592000.0
Operating Cash Flow,125054000.0,125000000.0,87378000.0,87000000.0,6267000.0,6000000.0,-46253000.0,-46000000.0,-81184000.0,-81000000.0,-87498000.0,-26673000.0
Capital Expenditure,57607000.0,-58000000.0,61893000.0,-62000000.0,27750000.0,-28000000.0,18084000.0,-18000000.0,8756000.0,-9000000.0,17202000.0,20292000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,-38000000,0.0,-37000000,0.0,0,0.0,0,0.0,0,0.0,0.0
Investing Cash flow,-95582000.0,-96000000.0,-99078000.0,-99000000.0,-25332000.0,-25000000.0,847000.0,1000000.0,169200000.0,169000000.0,66755000.0,6085000.0
Issuance (repayment) of debt,-0.0,-1000000.0,-0.0,-2000000.0,-0.0,-3000000.0,-0.0,-4000000.0,-0.0,-72000000.0,-0.0,-0.0
Issuance (buybacks) of shares,-245688000.0,000000.0,-84117000.0,000000.0,-95643000.0,000000.0,-111798000.0,000000.0,-99019000.0,-0000000.0,-82989000.0,-61663000.0
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Financing Cash Flow,-2281000.0,-2000000.0,133417000.0,133000000.0,-4506000.0,-5000000.0,56830000.0,57000000.0,-72083000.0,-72000000.0,30781000.0,22835000.0
Effect of forex changes on cash,-773000.0,-1000000.0,1624000.0,2000000.0,7660000.0,8000000.0,1443000.0,1000000.0,-1595000.0,-2000000.0,12837000.0,-3270000.0
Net cash flow / Change in cash,26418000.0,26000000.0,123341000.0,123000000.0,-15911000.0,-16000000.0,12867000.0,13000000.0,14338000.0,14000000.0,22875000.0,-1023000.0
Free Cash Flow,67447000.0,67000000.0,25485000.0,25000000.0,-21483000.0,-21000000.0,-64337000.0,-64000000.0,-89940000.0,-90000000.0,-104700000.0,-46965000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
