Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Revenue,7659000000.0,5289000000.0,5289000000.0,4294000000.0,4294000000.0,6903000000.0,7101000000.0,10338000000.0,10597000000.0
Revenue Growth,0.448099829835508,0,0.231718677224034,0,-0.377951615239751,-0.0278833967046895,-0.313116656993616,-0.0244408794941965,
Cost of Revenue,4798000000.0,3283000000.0,3685000000.0,2761000000.0,3166000000.0,4346000000.0,4885000000.0,6287000000.0,6457000000.0
Gross Profit,2156000000.0,1397000000.0,1603000000.0,870000000.0,1128000000.0,1898000000.0,2216000000.0,4051000000.0,4140000000.0
R&D Expenses,63000000.0,64000000.0,,69000000.0,,89000000.0,,,
SG&A Expense,1193000000.0,989000000.0,994000000.0,841000000.0,853000000.0,1189000000.0,1182000000.0,1509000000.0,1482000000.0
Operating Expenses,,,1273000000.0,,1192000000.0,,1626000000.0,1950000000.0,1959000000.0
Operating Income,857000000.0,324000000.0,330000000.0,-80000000.0,-64000000.0,552000000.0,589000000.0,2101000000.0,2181000000.0
Interest Expense,,,27000000.0,,22000000.0,,23000000.0,44000000.0,70000000.0
Earnings before Tax,1103000000.0,428000000.0,428000000.0,34000000.0,34000000.0,141000000.0,170000000.0,1767000000.0,2202000000.0
Income Tax Expense,-229000000.0,2000000.0,-17000000.0,-17000000.0,17000000.0,-234000000.0,245000000.0,586000000.0,628000000.0
Net Income - Non-Controlling int,,,,,,,,,
Net Income - Discontinued ops,,,,,,,,,
Net Income,,,545000000.0,,55000000.0,,-80000000.0,1159000000.0,1551000000.0
Preferred Dividends,,,,,,,,,
Net Income Com,876000000.0,530000000.0,545000000.0,55000000.0,55000000.0,-80000000.0,-80000000.0,1159000000.0,1551000000.0
EPS,1.48,0.9,0.92,0.09,0.10,-0.14,-0.14,1.96,2.62
EPS Diluted,1.48,0.9,0.92,0.09,0.10,-0.14,-0.14,1.96,2.62
Weighted Average Shs Out,590000000.0,590000000.0,590000000.0,590000000.0,590000000.0,590000000.0,590000000.0,590000000.0,590000000.0
Weighted Average Shs Out (Dil),,,590000000.0,,590000000.0,,590000000.0,590000000.0,590000000.0
Dividend per Share,,,,,,,,,
Gross Margin,0.2815,0.2641,0.30308186802798,0.2026,0.26269212855147,0.275,0.31206872271511,0.39185529115883,0.39067660658677
EBITDA Margin,,,0.20098317262242,,0.16744294364229,,0.11998310097169,0.23476494486361,0.27205812965934
EBIT Margin,,,0.10493477027794,,0.021891010712622,,0.026475144345867,0.17305088024763,0.21222987638011
Profit Margin,,,0.10304405369635,,0.012808570097811,,-0.011266018870582,0.11211065970207,0.1463621779749
Free Cash Flow margin,,,,,,,,,
EBITDA,,,1063000000.0,,719000000.0,,852000000.0,2427000000.0,2883000000.0
EBIT,,,555000000,,94000000,,188000000,1789000000,2249000000
Consolidated Income,,,545000000.0,,55000000.0,,-80000000.0,1159000000.0,1551000000.0
Earnings Before Tax Margin,0.144,0.0809,0.080922669691813,0.0079,0.007918025151374,0.0204,0.023940290099986,0.17092280905398,0.20779465886572
Net Profit Margin,,,0.10304405369635,,0.012808570097811,,-0.011266018870582,0.11211065970207,0.1463621779749
