Date,2018-12-31,2017-12-31,2016-12-30,2016-01-01,2015-01-02,2014-01-03
Depreciation & Amortization,1845000.0,1615000.0,2243000.0,587000.0,1061000.0,646000.0
Stock-based compensation,3044000.0,2315000.0,2370000.0,1050000.0,545000.0,305000.0
Operating Cash Flow,-38691000.0,-48197000.0,-25785000.0,-23430000.0,-19810000.0,-24022000.0
Capital Expenditure,-686000.0,-1231000.0,-4031000.0,-529000.0,-1272000.0,-1811000.0
Acquisitions and disposals,4600000.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,3914000.0,-1231000.0,-4031000.0,-529000.0,-1272000.0,-1811000.0
Issuance (repayment) of debt,16665000.0,12453000.0,13472000.0,0.0,0.0,0.0
Issuance (buybacks) of shares,89592000.0,1430000.0,249000.0,0.0,0.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,105852000.0,13883000.0,93324000.0,23743000.0,20327000.0,26825000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,71075000.0,-35545000.0,63508000.0,-216000.0,-755000.0,992000.0
Free Cash Flow,-39377000.0,-49428000.0,-29816000.0,-23959000.0,-21082000.0,-25833000.0
Net Cash/Marketcap,0.1917,0.0174,0.9636,0.0027,0.0027,0.0027
